Órgão superior,Órgão subordinado,Unidade administrativa,contract_no,Número do ICJ,Número do processo,Enquadramento do Processo,supplier,CNPJ/CPF,object,legal_basis,start,end,contract_value_raw,Saldo bruto do contrato,Saldo inativo,status,Número dos aditivos,service_line,currency,value
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600673840,5900.0123652.23.2,7003978371.0,LICITAÇÃO,HALLIBURTON PRODUTOS LTDA.,16328932000106,SUP. TÉC. ESP. NA GESTÃO DE DADOS E NO USO DE TECNOLOGIAS E SISTEMAS DE INTERPRETAÇÃO GEOLÓGICA E GEOFÍSICA DA SUÍTE IENERGY,"Licitação, Lei 13.303, Art. 28, CAPUT",2023-03-18,2028-03-15,"R$ 80.676.038,82","R$ 32.592.368,53","R$ 0,00",Ativo,001,Other,BRL,80676038.82
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600674036,0050.0120761.22.9,,CONVÊNIO,HALLIBURTON PRODUTOS LTDA.,16328932000106,"LIBRA 4.0 - DIGITAL TWIN DE SISTEMA DE PRODUÇÃO DE CAMPO DO PRÉ-SAL DESDE RESERVATÓRIO ATÉ TOPSIDES, PARA MONITORAMENTO E OTIMIZAÇÃO","Convênio, Patrocínio e Termo de Cooperação, Lei 13.303, Art. 27, § 3º",2023-02-15,2028-02-13,"R$ 52.083.514,68","R$ 22.489.380,85","R$ 0,00",Ativo,,Other,BRL,52083514.68
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600674095,5900.0123524.23.2,7003778855.0,LICITAÇÃO,HALLIBURTON PRODUTOS LTDA.,16328932000106,SERVIÇOS DE FLUIDOS PARA POÇOS QUE DEMANDAM OPERAÇÕES COM FLUIDO MULTIFUNCIONAL,"Licitação, Lei 13.303, Art. 28, CAPUT",2023-03-21,2025-12-29,"R$ 3.481.036,50","R$ 0,00","R$ 795.603,99",Concluído,001-002-003,Fluids & Chemicals,BRL,3481036.5
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600675007,5900.0124253.23.2,7003982454.0,LICITAÇÃO,HALLIBURTON PRODUTOS LTDA.,16328932000106,SERVIÇOS TÉCNICOS ESPECIALIZADOS DE CIMENTAÇÃO E ESTIMULAÇÃO EM POÇOS DE PETRÓLEO,"Licitação, Lei 13.303, Art. 28, CAPUT",2023-06-13,2026-12-06,"R$ 250.311.244,43","R$ 112.765.041,69","R$ 0,00",Ativo,001-002-003-004,Stimulation,BRL,250311244.43
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600675395,5900.0123652.23.2,7003978371.0,LICITAÇÃO,HALLIBURTON PRODUTOS LTDA.,16328932000106,SUP. TÉC. ESP. NA GESTÃO DE DADOS E NO USO DE TECNOLOGIAS E SISTEMAS DE INTERPRETAÇÃO GEOLÓGICA E GEOFÍSICA DA SUÍTE IENERGY,"Licitação, Lei 13.303, Art. 28, CAPUT",2023-03-18,2028-03-15,"R$ 70.263.387,18","R$ 26.354.511,55","R$ 0,00",Ativo,,Other,BRL,70263387.18
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600675590,,7004020691.0,LICITAÇÃO,HALLIBURTON PRODUTOS LTDA.,16328932000106,"Brocas de perfuração com e sem partes móveis para perfuração eworkover., conforme as especificações deste documento e de seus adendos.","Licitação, Lei 13.303, Art. 28, CAPUT",2023-11-27,2025-11-25,"US$ 654.727,28","US$ 0,00","US$ 654.727,28",Concluído,004,Well Construction,USD,654727.28
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600675982,5900.0123520.23.2,7003778855.0,LICITAÇÃO,HALLIBURTON PRODUTOS LTDA.,16328932000106,FORNEC DE PRODUTOS QUÍMICOS PARA UTILIZAÇÃO EM POÇOS QUE DEMANDAM OPERAÇÕES COM FLUIDO MULTIFUNCIONAL,"Licitação, Lei 13.303, Art. 28, CAPUT",2023-06-20,2025-12-29,"R$ 99.304.013,80","R$ 0,00","R$ 52.319.651,40",Concluído,001-158-002-157-003,Fluids & Chemicals,BRL,99304013.8
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600676487,5900.0125423.23.2,7004053453.0,LICITAÇÃO,HALLIBURTON PRODUTOS LTDA.,16328932000106,FORNECIMENTO DE PRODUTOS QUÍMICOS - EMBARCAÇÃO DO TIPO WSSV,"Licitação, Lei 13.303, Art. 28, CAPUT",2023-10-31,2028-10-28,"US$ 87.286,56","US$ 87.286,56","US$ 0,00",Ativo,,Fluids & Chemicals,USD,87286.56
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600676511,5900.0125423.23.2,7004053453.0,LICITAÇÃO,HALLIBURTON PRODUTOS LTDA.,16328932000106,FORNECIMENTO DE PRODUTOS QUÍMICOS - EMBARCAÇÃO DO TIPO WSSV,"Licitação, Lei 13.303, Art. 28, CAPUT",2023-10-31,2028-10-28,"R$ 5.303.180,37","R$ 5.303.180,37","R$ 0,00",Ativo,,Fluids & Chemicals,BRL,5303180.37
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600676512,5900.0125422.23.2,7004053453.0,LICITAÇÃO,HALLIBURTON PRODUTOS LTDA.,16328932000106,"SERVIÇOS TÉCNICOS ESPECIALIZADOS DE TRATAMENTOS QUÍMICOS, ESTIMULAÇÃO E CORRELATOS, EM POÇOS DE PETRÓLEO, GÁS E OUTROS","Licitação, Lei 13.303, Art. 28, CAPUT",2023-10-31,2028-10-28,"US$ 222.752,54","US$ 205.299,90","US$ 0,00",Ativo,001,Stimulation,USD,222752.54
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600676513,5900.0125422.23.2,7004053453.0,LICITAÇÃO,HALLIBURTON PRODUTOS LTDA.,16328932000106,"SERVIÇOS TÉCNICOS ESPECIALIZADOS DE TRATAMENTOS QUÍMICOS, ESTIMULAÇÃO E CORRELATOS, EM POÇOS DE PETRÓLEO, GÁS E OUTROS","Licitação, Lei 13.303, Art. 28, CAPUT",2023-10-31,2028-10-28,"R$ 34.065.795,40","R$ 25.232.720,42","R$ 0,00",Ativo,001,Stimulation,BRL,34065795.4
