procdet,pv,tipo,geojson,procedencia,empresa_informante,tejas_match,tejas_found_in
Estacion Motocompresora 4,Venteo Estacion Motocompresora 4,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.2026816764997,-38.1275173168518]}",YACIMIENTO,VISTA OIL & GAS ARGENTINA SAU,False,
Bateria 2 Piedras Blancas,Venteo Bateria 2 Piedras Blancas,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.2031000004889,-38.1285200006321]}",YACIMIENTO,VISTA OIL & GAS ARGENTINA SAU,False,
Estacion Motocompresora 5,Venteo Estacion Motocompresora 5,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.3457729528075,-37.9916369887005]}",YACIMIENTO,VISTA OIL & GAS ARGENTINA SAU,False,
Bateria 1 Charco Bayo,Venteo Bateria 1 Charco Bayo,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.0828199995266,-38.2121600003916]}",YACIMIENTO,VISTA OIL & GAS ARGENTINA SAU,False,
Bateria 3 Charco Bayo,Venteo Bateria 3 Charco Bayo,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.1332199992606,-38.1511000006245]}",YACIMIENTO,VISTA OIL & GAS ARGENTINA SAU,False,
Bateria 4 Charco Bayo,Venteo Bateria 4 Charco Bayo,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.0650200000706,-38.2313599996597]}",YACIMIENTO,VISTA OIL & GAS ARGENTINA SAU,False,
Bateria 5 Charco Bayo,Venteo Bateria 5 Charco Bayo,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.0920696525017,-38.2263733224533]}",YACIMIENTO,VISTA OIL & GAS ARGENTINA SAU,False,
Bateria 6 Charco Bayo,Venteo Bateria 6 Charco Bayo,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.1070900000613,-38.1803399993733]}",YACIMIENTO,VISTA OIL & GAS ARGENTINA SAU,False,
Bateria 4 Piedras Blancas,Venteo Bateria 4 Piedras Blancas,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.1801499995042,-38.1422100002089]}",YACIMIENTO,VISTA OIL & GAS ARGENTINA SAU,False,
Bateria 6 Piedras Blancas,Venteo Bateria 6 Piedras Blancas,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.2221730475471,-38.1110089895102]}",YACIMIENTO,VISTA OIL & GAS ARGENTINA SAU,False,
BATERIA,OESTE-LLL-ZC- Octogono BAT OF-04,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.211557693133,-38.8983848072131]}",YACIMIENTO,YPF S.A.,False,
Bateria 7 Piedras Blancas,Venteo Bateria 7 Piedras Blancas,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.1446899994566,-38.1752799998377]}",YACIMIENTO,VISTA OIL & GAS ARGENTINA SAU,False,
Bateria 8 Piedras Blancas,Venteo Bateria 8 Piedras Blancas,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.1655600001633,-38.1767300005143]}",YACIMIENTO,VISTA OIL & GAS ARGENTINA SAU,False,
Bateria 1 Entre Lomas,Venteo Bateria 1 Entre Lomas,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.3231100003953,-38.019710000341]}",YACIMIENTO,VISTA OIL & GAS ARGENTINA SAU,False,
Bateria 1 Lomas de Ocampo,Venteo Bateria 1 Lomas de Ocampo,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.3745100004952,-37.9614100001466]}",YACIMIENTO,VISTA OIL & GAS ARGENTINA SAU,False,
Bateria 12 25 de Mayo-Medanito SE,Venteo Bateria 12,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-67.8645480111213,-38.0578971794239]}",PLANTA COMPRESORA,VISTA OIL & GAS ARGENTINA SAU,False,
Bateria 14 25 de Mayo-Medanito SE,Venteo Bateria 14,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-67.8871513043339,-37.9562506065021]}",PLANTA COMPRESORA,VISTA OIL & GAS ARGENTINA SAU,False,
Bateria 15 25 de Mayo-Medanito SE,Venteo Bateria 15,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-67.9068643537502,-37.994747207665]}",PLANTA COMPRESORA,VISTA OIL & GAS ARGENTINA SAU,False,
Bateria 17 Jaguel de los Machos,Venteo Bateria 17,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-67.790822692513,-38.1182209877339]}",PLANTA COMPRESORA,VISTA OIL & GAS ARGENTINA SAU,False,
Bateria 19 Jaguel de los Machos,Venteo Bateria 19,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-67.8033301666193,-38.1632224074475]}",PLANTA COMPRESORA,VISTA OIL & GAS ARGENTINA SAU,False,
Bateria 1 El Caracol,Venteo Bateria 1 El Caracol,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.4265000007208,-37.9000199997201]}",YACIMIENTO,VISTA OIL & GAS ARGENTINA SAU,False,
TPF,Venteo TPF,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.6642248584997,-38.2393807939988]}",YACIMIENTO,VISTA OIL & GAS ARGENTINA SAU,False,
Cruz del Sur,Pta CDS,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.263250000328,-53.3288055275978]}",YACIMIENTO,PETROLERA LF COMPANY S.R.L.,False,
La Sara B,Bat LSB,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.2705556290375,-53.4350555477664]}",YACIMIENTO,PETROLERA LF COMPANY S.R.L.,False,
La Sara Norte,Bat LSN2,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.365972188664,-53.3709722073836]}",YACIMIENTO,PETROLERA LF COMPANY S.R.L.,False,
La Sara Norte,Bat LSN2,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.365972188664,-53.3709722073836]}",YACIMIENTO,PETROLERA LF COMPANY S.R.L.,False,
Seccion Veintinueve,Bat SVN,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.496444493672,-53.361888864119]}",PLANTA COMPRESORA,PETROLERA LF COMPANY S.R.L.,False,
Bateria 1 Borde Mocho,Venteo Bateria 1 Borde Mocho,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.2770661672776,-38.1461525901317]}",YACIMIENTO,VISTA OIL & GAS ARGENTINA SAU,False,
Estacion Motocompresora 7,Venteo Estacion Motocompresora 7,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.2013100000886,-38.2598300003434]}",YACIMIENTO,VISTA OIL & GAS ARGENTINA SAU,False,
YACIMIENTO UGARTECHE - BATERIAS DE PRODUCCIÃN,OESTE-MZAN-VENTEO BAT-U-3,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.9673163296848,-33.307373815649]}",YACIMIENTO,YPF S.A.,False,
Estacion Motocompresora 8,Venteo Estacion Motocompresora 8,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.518403942406,-38.22473412273]}",YACIMIENTO,VISTA OIL & GAS ARGENTINA SAU,False,
Bateria 1 Charco del Palenque,Venteo Bateria 1 Charco del Palenque,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.2040400000542,-38.260739999759]}",YACIMIENTO,VISTA OIL & GAS ARGENTINA SAU,False,
CHIHUIDO DE LA SIERRA NEGRA,Sin Dato87,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.2879783340329,-37.3603276110304]}",PLANTA COMPRESORA,YPF S.A.,False,
CHIHUIDO DE LA SIERRA NEGRA,Sin Dato88,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.2503463882751,-37.349714494828]}",PLANTA COMPRESORA,YPF S.A.,False,
CHIHUIDO DE LA SIERRA NEGRA,Sin Dato89,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.2562746769348,-37.3591754706714]}",PLANTA COMPRESORA,YPF S.A.,False,
YACIMIENTO VACAS MUERTA - BATERIAS DE PRODUCCIÃN,OESTE-MZAN-VENTEO BAT-VM-2,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.6324615530582,-33.489164053778]}",YACIMIENTO,YPF S.A.,False,
YACIMIENTO CRUZ DE PIEDRA - BATERIAS DE PRODUCCIÃN,OESTE-MZAN-VENTEO BAT-ECP-1,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.8050913993486,-33.0712419304706]}",PLANTA COMPRESORA,YPF S.A.,False,
YACIMIENTO PUNTAS BARDAS - BATERIAS DE PRODUCCIÃN,OESTE-MZAN-VENTEO BAT-PB-3,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.6634008169941,-33.5070125836638]}",YACIMIENTO,YPF S.A.,False,
YACIMIENTO BARRANCAS - BATERIAS DE PRODUCCIÃN,OESTE-MZAN-VENTEO BAT-B-10,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.7796258932204,-33.1969770288667]}",PLANTA COMPRESORA,YPF S.A.,False,
YACIMIENTO BARRANCAS - BATERIAS DE PRODUCCIÃN,"OESTE-MZAN-VENTEO BAT-BN-2
",FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.7855284306925,-33.1310413867506]}",PLANTA COMPRESORA,YPF S.A.,False,
CHIHUIDO DE LA SIERRA NEGRA,Sin Dato90,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.2522756750823,-37.3409830823034]}",PLANTA COMPRESORA,YPF S.A.,False,
LOMITA,Sin Dato102,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.2416189822302,-37.2930262557571]}",PLANTA COMPRESORA,YPF S.A.,False,
YACIMIENTO UGARTECHE - BATERIA DE PRODUCCIÃN,OESTE-MZAN-VENTEO PTC-B-104,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.7626677928843,-33.1613605555452]}",YACIMIENTO,YPF S.A.,False,
SEÃAL PICADA,Sin Dato121,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.1703450356948,-37.6459203642334]}",PLANTA COMPRESORA,YPF S.A.,False,
SEÃAL PICADA,Sin Dato122,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.2238853598215,-37.6447998719165]}",PLANTA COMPRESORA,YPF S.A.,False,
SEÃAL PICADA,Sin Dato123,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.1454458128739,-37.6254704976653]}",PLANTA COMPRESORA,YPF S.A.,False,
EL MEDANITO,Sin Dato124,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-67.9739929228351,-38.0366745297057]}",PLANTA COMPRESORA,YPF S.A.,False,
YACIMIENTO UGARTECHE - TANQUES ELEVADO,OESTE-MZAN-VENTEO TK-ELEVADO-U,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.91647337005,-33.3055054974807]}",YACIMIENTO,YPF S.A.,False,
YACIMIENTO CEFERINO - TANQUES ELEVADO,OESTE-MZAN-VENTEO TK-ELEVADO-CF,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.7802228982681,-33.5130903288555]}",YACIMIENTO,YPF S.A.,False,
EPF-01,OESTE-LC EPF-01,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.7954760926475,-38.3061484685769]}",YACIMIENTO,YPF S.A.,False,
