procdet,pv,tipo,geojson,procedencia,empresa_informante,tejas_match,tejas_found_in
PLANTA LTS SIERRA BARROSA,OESTE-LLL- ZC-Toledo-Barrosa (3 Etapas)VTO AT-SB,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.8357669209066,-38.7504140063013]}",YACIMIENTO,YPF S.A.,False,
USP EL CASQUETE,Sin Dato28,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.9184574327643,-38.7478067583751]}",YACIMIENTO,YPF S.A.,False,
USP EL CASQUETE,Sin Dato29,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.9161697148604,-38.7482943698892]}",YACIMIENTO,YPF S.A.,False,
BAT NG-05,Sin Dato30,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.9727142728454,-38.7668179443926]}",YACIMIENTO,YPF S.A.,False,
BAT NG-03,Sin Dato31,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.9710974446913,-38.7318651095871]}",YACIMIENTO,YPF S.A.,False,
BAT NG-04,Sin Dato33,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.9264992784189,-38.7751439542301]}",YACIMIENTO,YPF S.A.,False,
BAT NG-06,Sin Dato34,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.8910855086892,-38.7627809884518]}",YACIMIENTO,YPF S.A.,False,
BAT AT-04,Sin Dato35,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.8747850618811,-38.7587929781134]}",YACIMIENTO,YPF S.A.,False,
BAT NG-02,Sin Dato36,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.8989810283517,-38.73747331694]}",YACIMIENTO,YPF S.A.,False,
BAT NG-07,Sin Dato37,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.8743862152516,-38.738130697074]}",YACIMIENTO,YPF S.A.,False,
BAT AT-02,Sin Dato38,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.8617927118641,-38.7542977933085]}",YACIMIENTO,YPF S.A.,False,
PTC-SBR,Sin Dato39,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.8375299284634,-38.7588382715689]}",YACIMIENTO,YPF S.A.,False,
BAT AT-03,Sin Dato40,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.8110829849917,-38.7677779688781]}",YACIMIENTO,YPF S.A.,False,
PLANTA AMINAS,OESTE-LLL (S. Blancas) 1 Etapa VTO PTA 17MM (A),CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.7172302039107,-38.413290325588]}",YACIMIENTO,YPF S.A.,False,
ESTACIÃN COMPRESORA 8,OESTE-LLL USP-8 Media VTO USP-8 Media,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.6913808851197,-38.3902664185603]}",YACIMIENTO,YPF S.A.,False,
ESTACIÃN COMPRESORA 11,OESTE-LLL USP-11 Media VTO USP-11 Media,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.6076125537763,-38.5163341033361]}",YACIMIENTO,YPF S.A.,False,
ESTACIÃN COMPRESORA 5,OESTE-LLL USP-5 Media VTO USP-5 Media,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.6729184896965,-38.5016641273975]}",YACIMIENTO,YPF S.A.,False,
Bateria 2 Borde Montuoso,Venteo Bateria 2 Borde Montuoso,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.5015368984464,-38.2247443846001]}",YACIMIENTO,VISTA OIL & GAS ARGENTINA SAU,False,
Bateria 10 25 de Mayo-Medanito SE,Venteo Bateria 10,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-67.8329832824534,-38.0788365582282]}",PLANTA COMPRESORA,VISTA OIL & GAS ARGENTINA SAU,False,
MALAL DEL MEDIO,FOSA DE QUEMA MDM-78,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.6422362203253,-36.1967647774725]}",PLANTA COMPRESORA,YPF S.A.,False,
PLANTA COMPRESORA,Antorcha de venteo ECh-1,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.546652664,-46.456474435]}",YACIMIENTO,YPF S.A.,False,
Bateria 11 25 de Mayo-Medanito SE,Venteo Bateria 11,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-67.8011307175011,-38.0881141924358]}",PLANTA COMPRESORA,VISTA OIL & GAS ARGENTINA SAU,False,
Compresora Coiron Amargo Norte,Venteo Compresora CAN,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.3253831861945,-38.2533425280771]}",PLANTA COMPRESORA,VISTA OIL & GAS ARGENTINA SAU,False,
Pozo CANx-3,Venteo Pozo CANx-3,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.286737509396,-38.2670964039731]}",PLANTA COMPRESORA,VISTA OIL & GAS ARGENTINA SAU,False,
ESTACIÃN COMPRESORA 14,OESTE-LLL USP-14 Media VTO USP-14 Media,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.7429629921483,-38.3614386728564]}",YACIMIENTO,YPF S.A.,False,
EPF-02,OESTE-LC EPF-02,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.8444860576854,-38.3183851965196]}",YACIMIENTO,YPF S.A.,False,
PLANTA LTS SIERRA BARROSA,OESTE-LLL- ZC-Toledo-Barrosa (3 Etapas) VTO AT-SB,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.8362791306773,-38.74588363732]}",YACIMIENTO,YPF S.A.,False,
Sin Dato,SALIDA PLANTA DEW POINT,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.2610004533081,-46.1925004304504]}",YACIMIENTO,YPF S.A.,False,
Bateria 2 Charco Bayo,Venteo Bateria 2 Charco Bayo,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.1122984985004,-38.1958455508844]}",PLANTA COMPRESORA,VISTA OIL & GAS ARGENTINA SAU,False,
Bateria 1 Piedras Blancas,Venteo Bateria 1 Piedras Blancas,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.1551777555698,-38.1554920658795]}",YACIMIENTO,VISTA OIL & GAS ARGENTINA SAU,False,
Estacion Motocompresora 11,Venteo EMC11,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.5264979997676,-38.2287799989685]}",YACIMIENTO,VISTA OIL & GAS ARGENTINA SAU,False,
PLANTATURBO EXPANDER (ESTABILIZACIÃN DE CONDENSADO),OESTE-LLL (S. Blancas) 1 Etapa VTO TEXP,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.5994890218009,-38.5025299505967]}",YACIMIENTO,YPF S.A.,False,
TRATAMIENTO DE GAS-DESGASIFICADORA,OESTE-LLL-2 Etapas VTO DESGASIFICADORA Baja,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.7422199974549,-38.4177800011461]}",YACIMIENTO,YPF S.A.,False,
ESTACIÃN COMPRESORA 7,OESTE-LLL-USP-7 Baja VTO USP-7 Baja,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.6879362973222,-38.4471604234147]}",YACIMIENTO,YPF S.A.,False,
ESTACIÃN COMPRESORA 9,OESTE-LLL- USP-9 Baja VTO USP-9 Baja,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.6976078584159,-38.4852861950018]}",YACIMIENTO,YPF S.A.,False,
BAT NG-01,Sin Dato32,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.9389394968603,-38.7290260569069]}",YACIMIENTO,YPF S.A.,False,
CHIHUIDO DE LA SIERRA NEGRA,Sin Dato84,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.2956296661761,-37.3360639732737]}",PLANTA COMPRESORA,YPF S.A.,False,
CHIHUIDO DE LA SIERRA NEGRA,Sin Dato85,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.2960959448719,-37.3464281382479]}",PLANTA COMPRESORA,YPF S.A.,False,
SEÃAL CERRO BAYO,Sin Dato115,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.7344795721745,-37.6213296916119]}",PLANTA COMPRESORA,YPF S.A.,False,
SEÃAL PICADA,Sin Dato116,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.1935342039403,-37.645698226292]}",PLANTA COMPRESORA,YPF S.A.,False,
BATERIA,OESTE-LLL-ZC- Octogono BAT OF-02,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.1666139497739,-38.9114047862019]}",YACIMIENTO,YPF S.A.,False,
MINI-USP BO-21,Sin Dato41,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.9952819771814,-38.7779870565574]}",YACIMIENTO,YPF S.A.,False,
USP- EL TRIANGULO,Sin Dato42,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.7853175036998,-38.712012095182]}",YACIMIENTO,YPF S.A.,False,
TPF,Venteo 2 TPF,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.6686530730836,-38.2385211776539]}",PLANTA COMPRESORA,VISTA OIL & GAS ARGENTINA SAU,False,
Sin Dato,PTA-MEMBRANA-CL-GAS ACIDO,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-67.7511364942538,-46.6093474664124]}",YACIMIENTO,YPF S.A.,False,
CHIHUIDO DE LA SIERRA NEGRA,Sin Dato86,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.2676687113419,-37.3546176390927]}",PLANTA COMPRESORA,YPF S.A.,False,
CHIHUIDO DE LA SIERRA NEGRA,Sin Dato97,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.2472699271653,-37.3288954664526]}",PLANTA COMPRESORA,YPF S.A.,False,
LOMITA,Sin Dato98,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.2286676107216,-37.3536884433669]}",PLANTA COMPRESORA,YPF S.A.,False,
LOMITA,Sin Dato99,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.2296692639254,-37.3599126404559]}",PLANTA COMPRESORA,YPF S.A.,False,
LOMITA,Sin Dato100,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.2253391065145,-37.3399138765241]}",PLANTA COMPRESORA,YPF S.A.,False,
LOMITA,Sin Dato101,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.2295104769269,-37.3276055751371]}",PLANTA COMPRESORA,YPF S.A.,False,
ESTACIÃN COMPRESORA 4,OESTE-LLL-USP-4 Media VTO USP-4 Media,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.6318924881478,-38.4162168580215]}",YACIMIENTO,YPF S.A.,False,
PLANTA DESHIDRATADORA BARROSA OESTE,OESTE-LLL-ZC-Toledo-Barrosa (3 Etapas) VTO AT-SB,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.9863738145998,-38.7619236017928]}",YACIMIENTO,YPF S.A.,False,
BATCHI07,PV-BATCHI07,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.266674208,-37.3422713969999]}",PLANTA COMPRESORA,YPF S.A.,False,
UNIDAD DE SEPARACIÃN PRIMARIA,OESTE-LLL-ZC- Octogono (4 Etapas) VTO OCTOGONO,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.1699999971021,-38.9100000010991]}",YACIMIENTO,YPF S.A.,False,
LOMITA,Sin Dato103,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.1960917776134,-37.2742030604228]}",PLANTA COMPRESORA,YPF S.A.,False,
S2BAPO,Venteo S2BAPO,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.6381076929104,-38.2201137170805]}",YACIMIENTO,VISTA OIL & GAS ARGENTINA SAU,False,
LOMITA,Sin Dato104,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.1738387136857,-37.2738599474786]}",PLANTA COMPRESORA,YPF S.A.,False,
LOMITA,Sin Dato105,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.2071766251011,-37.3092232661408]}",PLANTA COMPRESORA,YPF S.A.,False,
LOMITA,Sin Dato106,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.211479128359,-37.3292484017923]}",PLANTA COMPRESORA,YPF S.A.,False,
LOMITA,Sin Dato107,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.2054804434676,-37.3460348125565]}",PLANTA COMPRESORA,YPF S.A.,False,
LOMITA,Sin Dato108,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.2050604627701,-37.3541034732966]}",PLANTA COMPRESORA,YPF S.A.,False,
SEÃAL PICADA,Sin Dato119,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.1383254368694,-37.6811547228122]}",PLANTA COMPRESORA,YPF S.A.,False,
Sin Dato,SUR-CS-ANTORCHA-GAS DULCE,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-67.637795327992,-46.542910280485]}",YACIMIENTO,YPF S.A.,False,
YACIMIENTO BARRANCAS - BATERIAS DE PRODUCCIÃN,OESTE-MZAN-VENTEO BAT-B-8 (B),FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.7822861229062,-33.1759108308202]}",PLANTA COMPRESORA,YPF S.A.,False,
YACIMIENTO VACAS MUERTA - BATERIAS DE PRODUCCIÃN,OESTE-MZAN-VENTEO BAT-VM-1,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.5994053587702,-33.4868022317376]}",YACIMIENTO,YPF S.A.,False,
YACIMIENTO VACAS MUERTA - BATERIAS DE PRODUCCIÃN,OESTE-MZAN-VENTEO BAT-VM-4,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.6285061341507,-33.4651260649159]}",YACIMIENTO,YPF S.A.,False,
YACIMIENTO LA VENTANA - BATERIAS DE PRODUCCIÃN,OESTE-MZAN-VENTEO BAT-LV,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.6873406547474,-33.3267376105522]}",YACIMIENTO,YPF S.A.,False,
CHIHUIDO DE LA SIERRA NEGRA,Sin Dato76,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.2799445885719,-37.331451729114]}",PLANTA COMPRESORA,YPF S.A.,False,
CHIHUIDO DE LA SIERRA NEGRA,Sin Dato77,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.2912556641176,-37.3159368967703]}",PLANTA COMPRESORA,YPF S.A.,False,
CHIHUIDO DE LA SIERRA NEGRA,Sin Dato78,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.2815126689745,-37.319867945849]}",PLANTA COMPRESORA,YPF S.A.,False,
CHIHUIDO DE LA SIERRA NEGRA,Sin Dato79,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.3170320290049,-37.2999424379931]}",PLANTA COMPRESORA,YPF S.A.,False,
CHIHUIDO DE LA SIERRA NEGRA,Sin Dato80,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.3341483056997,-37.2954918613603]}",PLANTA COMPRESORA,YPF S.A.,False,
CHIHUIDO DE LA SIERRA NEGRA,Sin Dato81,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.3513472076075,-37.3276175217312]}",PLANTA COMPRESORA,YPF S.A.,False,
CHIHUIDO DE LA SIERRA NEGRA,Sin Dato82,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.3209155740944,-37.3207436516981]}",PLANTA COMPRESORA,YPF S.A.,False,
CHIHUIDO DE LA SIERRA NEGRA,Sin Dato83,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.3100574789694,-37.3355376936096]}",PLANTA COMPRESORA,YPF S.A.,False,
PASO BARDA,OESTE-RDLS-ZA  P BARDA NQN VTO P BARDA NQN,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.5015436543162,-37.1871479803949]}",YACIMIENTO,YPF S.A.,False,
Rio Neuquen,PTG RN 01,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.1986083983589,-38.7476806644311]}",YACIMIENTO,YPF S.A.,False,
Rio Neuquen,Bat 06,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.2583007804566,-38.6953125004715]}",YACIMIENTO,YPF S.A.,False,
PLANTA LTS1,LTSLLL01-SVENTEOS-EFL001,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.715666062,-38.4105208519999]}",YACIMIENTO,YPF S.A.,False,
Rio Neuquen,Bat 01,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.2009887689165,-38.7368774405414]}",YACIMIENTO,YPF S.A.,False,
Rio Neuquen,Bat 02,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.1688232424986,-38.7136840823545]}",YACIMIENTO,YPF S.A.,False,
Rio Neuquen,Bat 03,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.226684569837,-38.749694823857]}",YACIMIENTO,YPF S.A.,False,
Rio Neuquen,Bat 04,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.1964111324677,-38.7081298837871]}",YACIMIENTO,YPF S.A.,False,
YACIMIENTO BARRANCAS - BATERIAS DE PRODUCCIÃN,OESTE-MZAN-VENTEO BAT-4VIZ- Extraordinario,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.3988804968374,-33.5725131634517]}",YACIMIENTO,YPF S.A.,False,
YACIMIENTO BARRANCAS - BATERIAS DE PRODUCCIÃN,OESTE-MZAN-VENTEO BAT-5VIZ- Extraordinario,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.3893983446578,-33.5878368925585]}",YACIMIENTO,YPF S.A.,False,
Sin Dato,SALIDA PLANTA DEW POINT,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.260997596,-46.192494515]}",YACIMIENTO,YPF S.A.,False,
YACIMIENTO BARRANCAS - BATERIAS DE PRODUCCIÃN,OESTE-MZAN-VENTEO BAT-10VIZ- Extraordinario,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.4911084053286,-33.5426985170229]}",YACIMIENTO,YPF S.A.,False,
UNIDAD DE SEPARACION PRIMARIA-PLANTA TRATAMIENTO DE CRUDO VIZCACHERAS,OESTE-MZAN-VENTEO PTC-VIZ- Extraordinario,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.4152845014785,-33.547638278084]}",YACIMIENTO,YPF S.A.,False,
CERRO FORTUNOSO,OESTE-MZAS-GAS-BAT CF-1,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.3631004627161,-36.1998552725028]}",PLANTA COMPRESORA,YPF S.A.,False,
LOS CAVAOS,PILETA DE VENTEO LCa-1 Extraordinario,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.6501385721373,-36.0935829367031]}",PLANTA COMPRESORA,YPF S.A.,False,
PAMPA PALAUCO,OESTE-MZAS-GAS-BAT PAMPA PALAUCO,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.5300330498853,-36.0677246049066]}",YACIMIENTO,YPF S.A.,False,
ESTACIÃN COMPRESORA 10,OESTE-LLL-USP-10 Baja VTO USP-10 Baja,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.7839559571017,-38.4428216666865]}",YACIMIENTO,YPF S.A.,False,
ESTACIÃN COMPRESORA 12,OESTE-LLL-USP-12 Baja VTO USP-12 Baja,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.7351867019048,-38.4423304902598]}",YACIMIENTO,YPF S.A.,False,
Sin Dato,SUR-CS-ANTORCHA-GAS DULCE,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-67.632226589,-46.547072559]}",YACIMIENTO,YPF S.A.,False,
YACIMIENTO BARRANCAS - BATERIAS DE PRODUCCIÃN,OESTE-MZAN-VENTEO BAT-B-12,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.793724402,-33.154642554]}",PLANTA COMPRESORA,YPF S.A.,False,
LOMA DE LA MINA,OESTE-MZAS-GAS-BAT LOMA DE LA MINA,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.513415384,-34.9214095849999]}",YACIMIENTO,YPF S.A.,False,
VOLCAN AUCA MAHUIDA,OESTE-RDLS-CAT-VOLCAN AUCA MAHUIDA VTO VAM,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.970277525,-37.806934326]}",PLANTA COMPRESORA,YPF S.A.,False,
PLANTA DE TRATAMIENTO LOS CAVAOS,OESTE-MZAS-LC-MG GAS VTEO PLANTA Extraordinario,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.6516376769999,-36.088754868]}",YACIMIENTO,YPF S.A.,False,
YACIMIENTO BARRANCAS - BATERIAS DE PRODUCCIÃN,OESTE-MZAN-VENTEO BAT-LC-4,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.726521335,-33.2226077239999]}",PLANTA COMPRESORA,YPF S.A.,False,
SEÃAL CERRO BAYO,OESTE-RDLS-CAT-SEÃAL CERRO BAYO VTO SCB,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.7499975549999,-37.6977743259999]}",PLANTA COMPRESORA,YPF S.A.,False,
CERRO HAMACA OESTE,OESTE-RDLS-CAT- CERRO HAMACA OESTE VTO CHO,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.5172175819999,-37.7122143199999]}",PLANTA COMPRESORA,YPF S.A.,False,
PLANTA COMPRESORA,Pto venteo-Booster CG-07,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.902902475,-46.479254279]}",YACIMIENTO,YPF S.A.,False,
YACIMIENTO LUNLUNTA CARRIZAL - BATERIAS DE PRODUCCIÃN/EX EX ASGN,OESTE-MZAN-VENTEO BAT-LC-2,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.717212796,-33.2505787329999]}",YACIMIENTO,YPF S.A.,False,
Rio Neuquen,Antorcha Bat 07,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.1503882179999,-38.728693004]}",YACIMIENTO,YPF S.A.,False,
Rio Neuquen,Antorcha Bat 09,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.221799344,-38.70470619]}",YACIMIENTO,YPF S.A.,False,
Rio Neuquen,Antorcha Bat 05,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.154294466,-38.747003551]}",YACIMIENTO,YPF S.A.,False,
YACIMIENTO BARRANCAS - BATERIAS DE PRODUCCIÃN,"OESTE-MZAN-VENTEO BAT-BN-2
",FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.785526117,-33.131035899]}",PLANTA COMPRESORA,YPF S.A.,False,
PLANTA AMINAS,LTSLLL02-SVENTEOS-EFL001,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.717227741,-38.4132846219999]}",YACIMIENTO,YPF S.A.,False,
YACIMIENTO UGARTECHE - BATERIAS DE PRODUCCIÃN,OESTE-MZAN-VENTEO PTC-B-104,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.762665483,-33.1613550669999]}",YACIMIENTO,YPF S.A.,False,
YACIMIENTO VIZCACHERAS - BATERIAS DE PRODUCCIÃN,OESTE-MZAN-VENTEO BAT-6VIZ- Extraordinario,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.388242024,-33.6143326229999]}",YACIMIENTO,YPF S.A.,False,
EPF-07,EPFLCE07-SVENTEOS-EFL001,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.607363235,-38.373062819]}",YACIMIENTO,YPF S.A.,False,
EPF-15,EPFLCE15-SVENTEOS-EFL001,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.5975717335338,-38.3936390957899]}",YACIMIENTO,YPF S.A.,False,
EPC LACH CENTRO,EPFLAC02-SVENTEOS-EFL001,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.701304003,-38.192016441]}",YACIMIENTO,YPF S.A.,False,
PLANTA COMPRESORA,Pto venteo-Antorcha-EC10,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.367066005,-46.15075508]}",YACIMIENTO,YPF S.A.,False,
PLANTA COMPRESORA,Pto venteo-Antorcha-EC7,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.17609695,-46.1542547139999]}",YACIMIENTO,YPF S.A.,False,
PLANTA COMPRESORA,Pto venteo-Antorcha-EC6,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.2210684299999,-46.2333348609999]}",YACIMIENTO,YPF S.A.,False,
PLANTA COMPRESORA,Pto venteo-Antorcha-EC8,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.161956475,-46.0961737819999]}",YACIMIENTO,YPF S.A.,False,
BATERIA,Pto venteo-Booster LH-01,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.926878156,-46.523623475]}",YACIMIENTO,YPF S.A.,False,
PLANTA COMPRESORA,Venteo PCG LS-01,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.623442779,-46.382731366]}",YACIMIENTO,YPF S.A.,False,
Sin Dato,ANTORCHA-FLARE-100-GAS,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-67.6302390339999,-46.548379784]}",YACIMIENTO,YPF S.A.,False,
Carmen Silva,BAT-CS,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.3726357479999,-53.4843272919999]}",YACIMIENTO,YPF S.A.,False,
CaÃ±adon Piedras 1,BAT-CP1,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.396552383,-52.9968550249999]}",PLANTA COMPRESORA,YPF S.A.,False,
CaÃ±adon Piedras,PTA-CP,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.514691225,-53.03921622]}",YACIMIENTO,YPF S.A.,False,
La Sara Norte,BAT-LSN2,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.3659690109999,-53.3709661579999]}",YACIMIENTO,YPF S.A.,False,
CaÃ±adon Piedras 2,BAT-CP2,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.5453856469999,-53.000299479]}",PLANTA COMPRESORA,YPF S.A.,False,
San Sebastian,PTA-SS,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.152358013,-53.3600772839999]}",YACIMIENTO,YPF S.A.,False,
PUESTO MOLINA LADO NQN,PCGPMO02-SVENTEOS-EFL001,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.1151491847277,-37.2166419736595]}",YACIMIENTO,YPF S.A.,False,
EL MEDANITO,BATEMT19-SVENTEOS-EFL001,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-67.9595223240088,-38.0506446005991]}",PLANTA COMPRESORA,YPF S.A.,False,
EL MEDANITO,BATEMT18-SVENTEOS-EFL001,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-67.9739929227032,-38.0366745293015]}",PLANTA COMPRESORA,YPF S.A.,False,
