anio,cuenca,concepto,cantidad_m3,indice_tiempo,mes,tejas_match,tejas_found_in
2015,GOLFO SAN JORGE,Producción convencional,1295747.051,2015-03,3,False,
2015,GOLFO SAN JORGE,Shale Oil,0.0,2015-03,3,False,
2015,GOLFO SAN JORGE,Tight_oil,0.0,2015-03,3,False,
2015,LOS BOLSONES,Producción convencional,0.0,2015-03,3,False,
2015,LOS BOLSONES,Shale Oil,0.0,2015-03,3,False,
2015,LOS BOLSONES,Tight_oil,0.0,2015-03,3,False,
2015,MALVINAS,Producción convencional,0.0,2015-03,3,False,
2015,MALVINAS,Shale Oil,0.0,2015-03,3,False,
2015,MALVINAS,Tight_oil,0.0,2015-03,3,False,
2015,NEUQUINA,Producción convencional,923010.30354874,2015-03,3,False,
2015,NEUQUINA,Shale Oil,106254.165005,2015-03,3,False,
2015,NEUQUINA,Tight_oil,15042.141532,2015-03,3,False,
2015,ÑIRIHUAU,Producción convencional,0.0,2015-03,3,False,
2015,ÑIRIHUAU,Shale Oil,0.0,2015-03,3,False,
2015,ÑIRIHUAU,Tight_oil,0.0,2015-03,3,False,
2015,NORESTE,Producción convencional,0.0,2015-03,3,False,
2015,NORESTE,Shale Oil,0.0,2015-03,3,False,
2015,NORESTE,Tight_oil,0.0,2015-03,3,False,
2015,NOROESTE,Producción convencional,35508.648,2015-03,3,False,
2015,NOROESTE,Shale Oil,0.0,2015-03,3,False,
2015,NOROESTE,Tight_oil,0.0,2015-03,3,False,
2015,AUSTRAL,Producción convencional,105508.715,2015-04,4,False,
2015,AUSTRAL,Shale Oil,0.0,2015-04,4,False,
2015,AUSTRAL,Tight_oil,163.995,2015-04,4,False,
2015,CAÑADON ASFALTO,Producción convencional,0.0,2015-04,4,False,
2015,CAÑADON ASFALTO,Shale Oil,0.0,2015-04,4,False,
2015,CAÑADON ASFALTO,Tight_oil,0.0,2015-04,4,False,
2015,CUYANA,Producción convencional,131998.605,2015-04,4,False,
2015,CUYANA,Shale Oil,0.0,2015-04,4,False,
2015,DEL COLORADO,Producción convencional,0.0,2015-04,4,False,
2015,DEL COLORADO,Shale Oil,0.0,2015-04,4,False,
2015,DEL COLORADO,Tight_oil,0.0,2015-04,4,False,
2015,GOLFO SAN JORGE,Producción convencional,1248117.0435832217,2015-04,4,False,
2015,GOLFO SAN JORGE,Shale Oil,0.0,2015-04,4,False,
2015,GOLFO SAN JORGE,Tight_oil,0.0,2015-04,4,False,
2015,LOS BOLSONES,Producción convencional,0.0,2015-04,4,False,
2015,LOS BOLSONES,Shale Oil,0.0,2015-04,4,False,
2015,LOS BOLSONES,Tight_oil,0.0,2015-04,4,False,
2015,MALVINAS,Producción convencional,0.0,2015-04,4,False,
2015,MALVINAS,Shale Oil,0.0,2015-04,4,False,
2015,MALVINAS,Tight_oil,0.0,2015-04,4,False,
2015,NEUQUINA,Producción convencional,900131.2653301,2015-04,4,False,
2015,NEUQUINA,Shale Oil,106797.506001,2015-04,4,False,
2015,NEUQUINA,Tight_oil,15449.253457,2015-04,4,False,
2015,ÑIRIHUAU,Producción convencional,0.0,2015-04,4,False,
2015,ÑIRIHUAU,Shale Oil,0.0,2015-04,4,False,
2015,ÑIRIHUAU,Tight_oil,0.0,2015-04,4,False,
2015,NORESTE,Producción convencional,0.0,2015-04,4,False,
2015,NORESTE,Shale Oil,0.0,2015-04,4,False,
2015,NORESTE,Tight_oil,0.0,2015-04,4,False,
2015,NOROESTE,Producción convencional,35405.222,2015-04,4,False,
2015,NOROESTE,Shale Oil,0.0,2015-04,4,False,
2015,NOROESTE,Tight_oil,0.0,2015-04,4,False,
2015,AUSTRAL,Producción convencional,108679.98,2015-05,5,False,
2015,AUSTRAL,Shale Oil,0.0,2015-05,5,False,
2015,AUSTRAL,Tight_oil,159.844,2015-05,5,False,
