anio,cuenca,concepto,cantidad_mm3,indice_tiempo,mes,tejas_match,tejas_found_in
2015,LOS BOLSONES,Shale gas,0.0,2015-03,3,False,
2015,LOS BOLSONES,Tight gas,0.0,2015-03,3,False,
2015,MALVINAS,Producción convencional,0.0,2015-03,3,False,
2015,MALVINAS,Shale gas,0.0,2015-03,3,False,
2015,MALVINAS,Tight gas,0.0,2015-03,3,False,
2015,NEUQUINA,Producción convencional,1507798.18174001,2015-03,3,False,
2015,NEUQUINA,Shale gas,81366.51674,2015-03,3,False,
2015,NEUQUINA,Tight gas,484358.94102,2015-03,3,False,
2015,ÑIRIHUAU,Producción convencional,0.0,2015-03,3,False,
2015,ÑIRIHUAU,Shale gas,0.0,2015-03,3,False,
2015,ÑIRIHUAU,Tight gas,0.0,2015-03,3,False,
2015,NORESTE,Producción convencional,0.0,2015-03,3,False,
2015,NORESTE,Shale gas,0.0,2015-03,3,False,
2015,NORESTE,Tight gas,0.0,2015-03,3,False,
2015,NOROESTE,Producción convencional,239574.354,2015-03,3,False,
2015,NOROESTE,Shale gas,0.0,2015-03,3,False,
2015,NOROESTE,Tight gas,0.0,2015-03,3,False,
2015,AUSTRAL,Producción convencional,798018.182,2015-04,4,False,
2015,AUSTRAL,Shale gas,0.0,2015-04,4,False,
2015,AUSTRAL,Tight gas,3933.402,2015-04,4,False,
2015,CAÑADON ASFALTO,Producción convencional,0.0,2015-04,4,False,
2015,CAÑADON ASFALTO,Shale gas,0.0,2015-04,4,False,
2015,CAÑADON ASFALTO,Tight gas,0.0,2015-04,4,False,
2015,CUYANA,Producción convencional,4369.13867,2015-04,4,False,
2015,CUYANA,Shale gas,0.0,2015-04,4,False,
2015,DEL COLORADO,Producción convencional,0.0,2015-04,4,False,
2015,DEL COLORADO,Shale gas,0.0,2015-04,4,False,
2015,DEL COLORADO,Tight gas,0.0,2015-04,4,False,
2015,GOLFO SAN JORGE,Producción convencional,465537.479757978,2015-04,4,False,
2015,GOLFO SAN JORGE,Shale gas,482.14,2015-04,4,False,
2015,GOLFO SAN JORGE,Tight gas,0.0,2015-04,4,False,
2015,LOS BOLSONES,Producción convencional,0.0,2015-04,4,False,
2015,LOS BOLSONES,Shale gas,0.0,2015-04,4,False,
2015,LOS BOLSONES,Tight gas,0.0,2015-04,4,False,
2015,MALVINAS,Producción convencional,0.0,2015-04,4,False,
2015,MALVINAS,Shale gas,0.0,2015-04,4,False,
2015,MALVINAS,Tight gas,0.0,2015-04,4,False,
2015,NEUQUINA,Producción convencional,1444556.47591,2015-04,4,False,
2015,NEUQUINA,Shale gas,80897.35797,2015-04,4,False,
2015,NEUQUINA,Tight gas,481912.21462,2015-04,4,False,
2015,ÑIRIHUAU,Producción convencional,0.0,2015-04,4,False,
2015,ÑIRIHUAU,Shale gas,0.0,2015-04,4,False,
2015,ÑIRIHUAU,Tight gas,0.0,2015-04,4,False,
2015,NORESTE,Producción convencional,0.0,2015-04,4,False,
2015,NORESTE,Shale gas,0.0,2015-04,4,False,
2015,NORESTE,Tight gas,0.0,2015-04,4,False,
2015,NOROESTE,Producción convencional,235939.469,2015-04,4,False,
2015,NOROESTE,Shale gas,0.0,2015-04,4,False,
2015,NOROESTE,Tight gas,0.0,2015-04,4,False,
2015,AUSTRAL,Producción convencional,850267.827,2015-05,5,False,
2015,AUSTRAL,Shale gas,0.0,2015-05,5,False,
2015,AUSTRAL,Tight gas,3863.958,2015-05,5,False,
2015,CAÑADON ASFALTO,Producción convencional,0.0,2015-05,5,False,
2015,CAÑADON ASFALTO,Shale gas,0.0,2015-05,5,False,
2015,CAÑADON ASFALTO,Tight gas,0.0,2015-05,5,False,
2015,CUYANA,Producción convencional,4405.802735,2015-05,5,False,
2015,CUYANA,Shale gas,0.0,2015-05,5,False,
2015,CUYANA,Tight gas,0.0,2015-05,5,False,
2015,DEL COLORADO,Producción convencional,0.0,2015-05,5,False,
2015,DEL COLORADO,Shale gas,0.0,2015-05,5,False,
2015,DEL COLORADO,Tight gas,0.0,2015-05,5,False,
2015,GOLFO SAN JORGE,Producción convencional,470828.941388726,2015-05,5,False,
2015,GOLFO SAN JORGE,Shale gas,428.34,2015-05,5,False,
2015,GOLFO SAN JORGE,Tight gas,0.0,2015-05,5,False,
2015,LOS BOLSONES,Producción convencional,0.0,2015-05,5,False,
2015,LOS BOLSONES,Shale gas,0.0,2015-05,5,False,
2015,LOS BOLSONES,Tight gas,0.0,2015-05,5,False,
2015,MALVINAS,Producción convencional,0.0,2015-05,5,False,
2015,MALVINAS,Shale gas,0.0,2015-05,5,False,
2015,MALVINAS,Tight gas,0.0,2015-05,5,False,
2015,NEUQUINA,Producción convencional,1496756.66724501,2015-05,5,False,
2015,NEUQUINA,Shale gas,86507.22375,2015-05,5,False,
2015,NEUQUINA,Tight gas,511153.06899,2015-05,5,False,
2015,ÑIRIHUAU,Producción convencional,0.0,2015-05,5,False,
2015,ÑIRIHUAU,Shale gas,0.0,2015-05,5,False,
2015,ÑIRIHUAU,Tight gas,0.0,2015-05,5,False,
2015,NORESTE,Producción convencional,0.0,2015-05,5,False,
2015,NORESTE,Shale gas,0.0,2015-05,5,False,
2015,NORESTE,Tight gas,0.0,2015-05,5,False,
2015,NOROESTE,Producción convencional,245689.729,2015-05,5,False,
2015,NOROESTE,Shale gas,0.0,2015-05,5,False,
2015,NOROESTE,Tight gas,0.0,2015-05,5,False,
2015,AUSTRAL,Producción convencional,808841.491,2015-06,6,False,
2015,AUSTRAL,Shale gas,0.0,2015-06,6,False,
2015,AUSTRAL,Tight gas,4006.474,2015-06,6,False,
2015,CAÑADON ASFALTO,Producción convencional,0.0,2015-06,6,False,
2015,CAÑADON ASFALTO,Shale gas,0.0,2015-06,6,False,
2015,CAÑADON ASFALTO,Tight gas,0.0,2015-06,6,False,
2015,CUYANA,Producción convencional,4246.56914,2015-06,6,False,
2015,CUYANA,Shale gas,0.0,2015-06,6,False,
2015,CUYANA,Tight gas,0.0,2015-06,6,False,
2015,DEL COLORADO,Producción convencional,0.0,2015-06,6,False,
2015,DEL COLORADO,Shale gas,0.0,2015-06,6,False,
2015,DEL COLORADO,Tight gas,0.0,2015-06,6,False,
2015,GOLFO SAN JORGE,Producción convencional,459609.445228537,2015-06,6,False,
2015,GOLFO SAN JORGE,Shale gas,335.04,2015-06,6,False,
2015,GOLFO SAN JORGE,Tight gas,0.0,2015-06,6,False,
2015,LOS BOLSONES,Producción convencional,0.0,2015-06,6,False,
2015,LOS BOLSONES,Shale gas,0.0,2015-06,6,False,
2015,LOS BOLSONES,Tight gas,0.0,2015-06,6,False,
2015,MALVINAS,Producción convencional,0.0,2015-06,6,False,
2015,MALVINAS,Shale gas,0.0,2015-06,6,False,
2015,MALVINAS,Tight gas,0.0,2015-06,6,False,
2015,NEUQUINA,Producción convencional,1434995.1888,2015-06,6,False,
2015,NEUQUINA,Shale gas,93063.17765,2015-06,6,False,
2015,NEUQUINA,Tight gas,499463.19555,2015-06,6,False,
2015,ÑIRIHUAU,Producción convencional,0.0,2015-06,6,False,
2015,ÑIRIHUAU,Shale gas,0.0,2015-06,6,False,
2015,ÑIRIHUAU,Tight gas,0.0,2015-06,6,False,
2015,NORESTE,Producción convencional,0.0,2015-06,6,False,
2015,NORESTE,Shale gas,0.0,2015-06,6,False,
2015,NORESTE,Tight gas,0.0,2015-06,6,False,
2015,NOROESTE,Producción convencional,235539.128,2015-06,6,False,
2015,NOROESTE,Shale gas,0.0,2015-06,6,False,
2015,NOROESTE,Tight gas,0.0,2015-06,6,False,
2015,AUSTRAL,Producción convencional,801507.011,2015-07,7,False,
2015,AUSTRAL,Shale gas,0.0,2015-07,7,False,
2015,AUSTRAL,Tight gas,3542.091,2015-07,7,False,
2015,CAÑADON ASFALTO,Producción convencional,0.0,2015-07,7,False,
2015,CAÑADON ASFALTO,Shale gas,0.0,2015-07,7,False,
2015,CAÑADON ASFALTO,Tight gas,0.0,2015-07,7,False,
2015,CUYANA,Producción convencional,4530.21863,2015-07,7,False,
2015,CUYANA,Shale gas,0.0,2015-07,7,False,
2015,CUYANA,Tight gas,0.0,2015-07,7,False,
2015,DEL COLORADO,Producción convencional,0.0,2015-07,7,False,
2015,DEL COLORADO,Shale gas,0.0,2015-07,7,False,
2015,DEL COLORADO,Tight gas,0.0,2015-07,7,False,
2015,GOLFO SAN JORGE,Producción convencional,476359.472284109,2015-07,7,False,
2015,GOLFO SAN JORGE,Shale gas,267.88,2015-07,7,False,
2015,GOLFO SAN JORGE,Tight gas,0.0,2015-07,7,False,
2015,LOS BOLSONES,Producción convencional,0.0,2015-07,7,False,
2015,LOS BOLSONES,Shale gas,0.0,2015-07,7,False,
2015,LOS BOLSONES,Tight gas,0.0,2015-07,7,False,
2015,MALVINAS,Producción convencional,0.0,2015-07,7,False,
2015,MALVINAS,Shale gas,0.0,2015-07,7,False,
2015,MALVINAS,Tight gas,0.0,2015-07,7,False,
2015,NEUQUINA,Producción convencional,1470778.43886998,2015-07,7,False,
2015,NEUQUINA,Shale gas,111952.8662,2015-07,7,False,
2015,NEUQUINA,Tight gas,528042.21893,2015-07,7,False,
2015,ÑIRIHUAU,Producción convencional,0.0,2015-07,7,False,
2015,ÑIRIHUAU,Shale gas,0.0,2015-07,7,False,
2015,ÑIRIHUAU,Tight gas,0.0,2015-07,7,False,
2015,NORESTE,Producción convencional,0.0,2015-07,7,False,
2015,NORESTE,Shale gas,0.0,2015-07,7,False,
2015,NORESTE,Tight gas,0.0,2015-07,7,False,
2015,NOROESTE,Producción convencional,240104.38,2015-07,7,False,
2015,NOROESTE,Shale gas,0.0,2015-07,7,False,
2015,NOROESTE,Tight gas,0.0,2015-07,7,False,
2015,AUSTRAL,Producción convencional,839078.376,2015-08,8,False,
2015,AUSTRAL,Shale gas,0.0,2015-08,8,False,
2015,AUSTRAL,Tight gas,3552.836,2015-08,8,False,
2015,CAÑADON ASFALTO,Producción convencional,0.0,2015-08,8,False,
2015,CAÑADON ASFALTO,Shale gas,0.0,2015-08,8,False,
2015,CAÑADON ASFALTO,Tight gas,0.0,2015-08,8,False,
2015,CUYANA,Producción convencional,4532.49666,2015-08,8,False,
2015,CUYANA,Shale gas,0.0,2015-08,8,False,
2015,CUYANA,Tight gas,0.0,2015-08,8,False,
2015,DEL COLORADO,Producción convencional,0.0,2015-08,8,False,
2015,DEL COLORADO,Shale gas,0.0,2015-08,8,False,
2015,DEL COLORADO,Tight gas,0.0,2015-08,8,False,
2015,GOLFO SAN JORGE,Producción convencional,492262.19141249,2015-08,8,False,
2015,GOLFO SAN JORGE,Shale gas,307.39,2015-08,8,False,
2015,GOLFO SAN JORGE,Tight gas,0.0,2015-08,8,False,
2015,LOS BOLSONES,Producción convencional,0.0,2015-08,8,False,
2015,LOS BOLSONES,Shale gas,0.0,2015-08,8,False,
2015,LOS BOLSONES,Tight gas,0.0,2015-08,8,False,
