anio,empresa,areapermisoconcesion,provincia,cantidad,areayacimiento,idempresa,idcuenca,concepto,idareayacimiento,idconcepto,cuenca,fecha_data,indice_tiempo,idprovincia,mes,idubicacion,ubicacion,observaciones,idareapermisoconcesion,tejas_match,tejas_found_in
2015,YPF S.A.,CEFERINO,Mendoza,0.0,CEFERINO,YPF,CCB,Servicio,CEF,4,CUYANA,2015-01-31T00:00:00,2015-01,M,1,1,On Shore,,CEF,False,
2015,YPF S.A.,CEFERINO,Mendoza,0.0,CEFERINO,YPF,CCB,Exploración,CEF,1,CUYANA,2015-01-31T00:00:00,2015-01,M,1,1,On Shore,,CEF,False,
