anio,empresa,provincia,areayacimiento,idareayacimiento,cuenca,indice_tiempo,mes,produccion_gas_promedio_dia_mm3,areapermisoconcesion,idareapermisoconcesion,tejas_match,tejas_found_in
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,ESCORIAL,ESC,GOLFO SAN JORGE,2009-10,10,0.0,ANTICLINAL GRANDE - CERRO DRAGON,ANG,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,GUANACO,EGU,GOLFO SAN JORGE,2009-10,10,0.0,ANTICLINAL GRANDE - CERRO DRAGON,ANG,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,HOLDICH,HDCH,GOLFO SAN JORGE,2009-10,10,0.0,ANTICLINAL GRANDE - CERRO DRAGON,ANG,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,HUETEL,HUE,GOLFO SAN JORGE,2009-10,10,4.5484,ANTICLINAL GRANDE - CERRO DRAGON,ANG,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,JORGE,JOR,GOLFO SAN JORGE,2009-10,10,0.2258,ANTICLINAL GRANDE - CERRO DRAGON,ANG,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,LAGARTO,LAGA,GOLFO SAN JORGE,2009-10,10,0.0,ANTICLINAL GRANDE - CERRO DRAGON,ANG,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,LAGARTO SUR,LAGS,GOLFO SAN JORGE,2009-10,10,0.0,ANTICLINAL GRANDE - CERRO DRAGON,ANG,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,LA MADRESELVA,LMAD,GOLFO SAN JORGE,2009-10,10,19.3548,ANTICLINAL GRANDE - CERRO DRAGON,ANG,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,LA MADRESELVA SUR,LMAS,GOLFO SAN JORGE,2009-10,10,17.0968,ANTICLINAL GRANDE - CERRO DRAGON,ANG,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,LA PIEDRA,LAPI,GOLFO SAN JORGE,2009-10,10,0.871,ANTICLINAL GRANDE - CERRO DRAGON,ANG,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,LAS FLORES,LASF,GOLFO SAN JORGE,2009-10,10,147.5484,ANTICLINAL GRANDE - CERRO DRAGON,ANG,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,LAS LOMAS,LLOM,GOLFO SAN JORGE,2009-10,10,0.0,ANTICLINAL GRANDE - CERRO DRAGON,ANG,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,LOS LEONES,LLEO,GOLFO SAN JORGE,2009-10,10,0.0,ANTICLINAL GRANDE - CERRO DRAGON,ANG,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,LOS TAMARISCOS,LTAM,GOLFO SAN JORGE,2009-10,10,0.0,ANTICLINAL GRANDE - CERRO DRAGON,ANG,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,MARIANA,MARI,GOLFO SAN JORGE,2009-10,10,0.0645,ANTICLINAL GRANDE - CERRO DRAGON,ANG,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,MESETA CATORCE,M14,GOLFO SAN JORGE,2009-10,10,0.6774,ANTICLINAL GRANDE - CERRO DRAGON,ANG,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,MESETA NEGRA,MNEG,GOLFO SAN JORGE,2009-10,10,0.0,ANTICLINAL GRANDE - CERRO DRAGON,ANG,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,ORIENTAL,ORIE,GOLFO SAN JORGE,2009-10,10,15.7097,ANTICLINAL GRANDE - CERRO DRAGON,ANG,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,ORIENTAL OESTE,ORIO,GOLFO SAN JORGE,2009-10,10,26.8065,ANTICLINAL GRANDE - CERRO DRAGON,ANG,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,PADRE CORTI,PCOR,GOLFO SAN JORGE,2009-10,10,1.7097,ANTICLINAL GRANDE - CERRO DRAGON,ANG,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,PAMPA,PAMP,GOLFO SAN JORGE,2009-10,10,1.0968,ANTICLINAL GRANDE - CERRO DRAGON,ANG,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,PAMPA SUR,PAMS,GOLFO SAN JORGE,2009-10,10,0.0,ANTICLINAL GRANDE - CERRO DRAGON,ANG,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,RESERO,RES,GOLFO SAN JORGE,2009-10,10,25.9032,ANTICLINAL GRANDE - CERRO DRAGON,ANG,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,RIO CHICO,RCCO,GOLFO SAN JORGE,2009-10,10,13.5161,ANTICLINAL GRANDE - CERRO DRAGON,ANG,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,SAN AGUSTIN,SAG,GOLFO SAN JORGE,2009-10,10,0.4839,ANTICLINAL GRANDE - CERRO DRAGON,ANG,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,TERO,TERO,GOLFO SAN JORGE,2009-10,10,2.0645,ANTICLINAL GRANDE - CERRO DRAGON,ANG,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,TRAHUIL,TRHU,GOLFO SAN JORGE,2009-10,10,0.0,ANTICLINAL GRANDE - CERRO DRAGON,ANG,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,TRES PICOS,TPIC,GOLFO SAN JORGE,2009-10,10,4359.2581,ANTICLINAL GRANDE - CERRO DRAGON,ANG,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,VALLE HERMOSO,VAHE,GOLFO SAN JORGE,2009-10,10,1393.6452,ANTICLINAL GRANDE - CERRO DRAGON,ANG,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,VALLE MARTIN,VAMA,GOLFO SAN JORGE,2009-10,10,1343.0968,ANTICLINAL GRANDE - CERRO DRAGON,ANG,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,ZORRO,ZOR,GOLFO SAN JORGE,2009-10,10,635.871,ANTICLINAL GRANDE - CERRO DRAGON,ANG,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Santa Cruz,ANTICLINAL GRANDE,ANTG,GOLFO SAN JORGE,2009-10,10,0.0,CERRO DRAGON,CRRD,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Santa Cruz,BAYO,BAY,GOLFO SAN JORGE,2009-10,10,94.5806,CERRO DRAGON,CRRD,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Santa Cruz,ESCORIAL,EIAL,GOLFO SAN JORGE,2009-10,10,0.0,CERRO DRAGON,CRRD,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Santa Cruz,HUETEL,HTEL,GOLFO SAN JORGE,2009-10,10,16.3226,CERRO DRAGON,CRRD,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Santa Cruz,MESETA CATORCE,MRCE,GOLFO SAN JORGE,2009-10,10,21.8387,CERRO DRAGON,CRRD,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,CERRO TORTUGA,CETO,GOLFO SAN JORGE,2009-10,10,30.3226,CERRO TORTUGA - LAS FLORES,CTO,False,
2009,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Chubut,HURON,HURO,GOLFO SAN JORGE,2009-10,10,0.9032,CERRO TORTUGA - LAS FLORES,CTO,False,
