anio,mes,solicitudes_acceso,solicitudes_datos_personales,total_solicitudes
2023,Junio,48,0,48
2023,Julio,67,0,67
2023,Agosto,60,0,60
2023,Septiembre,65,0,65
2023,Octubre,64,0,64
2023,Noviembre,90,0,90
2023,Diciembre,32,1,33
2024,Enero,122,0,122
2024,Febrero,97,0,97
2024,Marzo,161,0,161
2024,Abril,81,0,81
2024,Mayo,69,0,69
