Nome Poço ANP;Nome Poço Operador;Bloco;Bacia;Campo;Contrato;Operador;Início Perfuração;Lâmina d'água (m);Latitude;Longitude;Objetivo da Intervenção;Sonda;Terra ou Mar
3-RSP-6-BA          ;3RSP 0006  BA       ;RSP       ;Recôncavo;RIACHO SÃO PEDRO;480000036849751               ;PetroRecôncavo;22/10/1979;;"	-12:30:32,725 ";"	-38:14:44,796 ";Completação;SONDA CONVENCIONAL 35;TERRA
3-RSP-7-BA          ;3RSP 0007  BA       ;RSP       ;Recôncavo;RIACHO SÃO PEDRO;480000036849751               ;PetroRecôncavo;24/05/1979;;"	-12:30:00,698 ";"	-38:13:51,633 ";Completação;SONDA CONVENCIONAL 35;TERRA
3-STAR-28-RN        ;3PBC3RN             ;POT-T-748 ;Potiguar;SABIÁ BICO-DE-OSSO;48610009128200516             ;PetroRecôncavo;28/05/2012;0;"	-05:28:43,140 ";"	-37:07:03,653 ";Completação;IMETAME_ENERGIA_01;TERRA
3-TM-2-AL           ;3TM  0002  AL       ;TM        ;Alagoas;TABULEIRO DOS MARTINS;480000038649733               ;Petrosynergy;05/01/1962;;"	-09:36:04,255 ";"	-35:45:30,817 ";Restauração;SONDA CONVENCIONAL 59;TERRA
3-VR-6-RN           ;3VR  0006  RN       ;BR        ;Potiguar;BREJINHO RN;480000037899710               ;PetroRecôncavo;25/09/1994;0;"	-05:32:58,081 ";"	-37:19:01,295 ";Restauração;SONDA CONVENCIONAL 82;TERRA
4-BRSA-1292D-BA     ;4AR367DBA           ;;Recôncavo;ARAÇÁS;480000036319795               ;Petrobras;14/01/2015;;"	-12:09:56,455 ";"	-38:10:59,794 ";Restauração;SONDA CONVENCIONAL 105;TERRA
4-BRSA-1395-SPS     ;4-SPS-112           ;ARAM      ;Santos;;48610220938201919             ;Petrobras;15/12/2024;1758;"	-25:22:43,801 ";"	-44:29:46,740 ";Avaliação;Valaris DS-4;MAR
4-CRT-2-RJS         ;4CRT 0002  RJS      ;CRT       ;Campos;CARATINGA;480000038989755               ;Petrobras;14/06/1994;998;"	-22:38:48,289 ";"	-40:14:32,747 ";Abandono;;MAR
4-MDU-3-BA          ;4MDU 0003  BA       ;AR        ;Recôncavo;ARAÇÁS;480000036319795               ;Petrobras;10/05/1981;;"	-12:09:43,291 ";"	-38:08:17,057 ";Restauração;SONDA CONVENCIONAL 72;TERRA
4-SMC-19-AL         ;4SMC 0019  AL       ;FU        ;Alagoas;FURADO;480000038549780               ;Origem Alagoas;15/06/1980;0;"	-09:50:14,252 ";"	-36:07:40,230 ";Completação;SONDA CONVENCIONAL 26;TERRA
6-BRSA-1138-RN      ;6RFQ57RN            ;;Potiguar;RIACHO DA FORQUILHA;480000038219721               ;PetroRecôncavo;09/12/2012;0;"	-05:27:23,750 ";"	-37:43:55,302 ";Restauração;SAIPEM-2;TERRA
