COMISIÓN NACIONAL DE HIDROCARBUROS,,,,,,,,,,
PRODUCCION POR CONTRATO,,,,,,,,,,
Producción mensual por contrato y operador,,,,,,,,,,
Datos a enero - 2025.,,,,,,,,,,
Notas: Las unidades corresponden a Miles de barriles diarios (Mbd) y Millones de pies cúbicos diarios (MMpcd).,,,,,,,,,,
Hidrocarburos líquidos: Se refiere a la suma de petróleo y condensado.,,,,,,,,,,
Para información geográfica de los contratos visite https://mapa.hidrocarburos.gob.mx,,,,,,,,,,
,,,,,,,,,,
FECHA,CONTRATO,OPERADOR,HIDROCARBUROS_LIQUIDOS_MBD,PETROLEO_MBD,CONDENSADO_MBD,GAS_MMPCD,GAS_ASOC_MMPCD,GAS_NASOC_MMPCD,N2_MMPCD,AGUA_MBD
07/2016,CNH-R01-L03-A5/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,2.245800332,0.0,2.245800332,0.006063,0.021262858
07/2016,CNH-R01-L03-A6/2015,DIAVAZ OFFSHORE,0.012521405,0.012521405,0.0,0.591247498,0.591247498,0.0,0.0186,0.0377388
07/2016,CNH-R01-L03-A7/2015,SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO,0.545256193,0.545256193,0.0,1.356391319,1.356391319,0.0,0.005112,0.2012736
07/2016,CNH-R01-L03-A8/2015,DUNAS EXPLORACIÓN Y PRODUCCIÓN,0.0,0.0,0.0,1.092828443,0.0,1.092828443,0.001748,0.000483768
08/2016,CNH-R01-L03-A1/2015,DIAVAZ OFFSHORE,0.094267937,0.094267937,0.0,0.050359758,0.050359758,0.0,0.000569,0.183741999
08/2016,CNH-R01-L03-A11/2015,RENAISSANCE OIL CORP,0.263131998,0.263131998,0.0,2.497151199,2.497151199,0.0,0.09167,1.4089152
08/2016,CNH-R01-L03-A12/2015,GRUPO MAREÓGRAFO,0.0,0.0,0.0,2.555286422,0.0,2.555286422,0.003577,0.002753854
08/2016,CNH-R01-L03-A15/2015,RENAISSANCE OIL CORP,0.21782595,0.21782595,0.0,2.647487375,2.647487375,0.0,0.082045,1.161584032
08/2016,CNH-R01-L03-A18/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,2.732909736,0.0,2.732909736,0.024869,0.009727963
08/2016,CNH-R01-L03-A2/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,13.732376101,0.0,13.732376101,0.046838,0.057166414
