Órgão superior;Órgão subordinado;Unidade administrativa;Número do contrato;Número do ICJ;Número do processo;Enquadramento do Processo;Fornecedor;CNPJ/CPF;Objeto da contratação;Fundamento legal;Início da vigência;Fim da vigência;Valor do contrato;Saldo bruto do contrato;Saldo inativo;Situação;Número dos aditivos
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600580853;5100.0109223.18.2;;CONVITE;HALLIBURTON PRODUTOS LTDA.;16328932000106;SERVIÇOS DE ASSISTÊNCIA TÉCNICA, CONDICIONAMENTO E TAMPÃO DE ABANDONO TEMPORÁRIO;Convite, Dec 2745, 3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao objeto, cadastrados ou não.;01/05/2019;19/05/2023;R$ 14.737.188,17;R$ 0,00;R$ 3.410.189,18;Concluído;001-003-002-005-004-006-007-008
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600580854;5100.0109223.18.2;;CONVITE;HALLIBURTON PRODUTOS LTDA.;16328932000106;SERVIÇOS DE ASSISTÊNCIA TÉCNICA, CONDICIONAMENTO E TAMPÃO DE ABANDONO TEMPORÁRIO;Convite, Dec 2745, 3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao objeto, cadastrados ou não.;01/05/2019;19/05/2023;US$ 6.663.622,34;US$ 0,00;US$ 565.352,85;Concluído;001-002-003-005-004-006-007-008
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600581443;5100.0110108.18.2;;CONVITE;HALLIBURTON PRODUTOS LTDA.;16328932000106;SUPORTE À ANÁLISE DE RISCO EM PROJETOS DE PERFURAÇÃO, COMPLETAÇÃO, WORKOVER E ABANDONO DE POÇOS;Convite, Dec 2745, 3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao objeto, cadastrados ou não.;01/03/2019;30/12/2022;R$ 20.105.856,52;R$ 0,00;R$ 476.686,35;Concluído;850-001-002-004-003
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600581444;5100.0110109.18.2;;CONVITE;HALLIBURTON PRODUTOS LTDA.;16328932000106;SUPORTE À ANÁLISE DE RISCO EM PROJETOS DE PERFURAÇÃO, COMPLETAÇÃO, WORKOVER E ABANDONO DE POÇOS P/ LIBRA;Convite, Dec 2745, 3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao objeto, cadastrados ou não.;01/03/2019;28/05/2022;R$ 1.042.779,24;R$ 0,00;R$ 0,08;Concluído;001-003-002-004
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600581921;5900.0109848.18.2;;CONVITE;HALLIBURTON PRODUTOS LTDA.;16328932000106;SERVIÇOS PARA CONTENÇÃO DE AREIA A POÇO REVESTIDO - FRAC PACK;Convite, Dec 2745, 3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao objeto, cadastrados ou não.;02/01/2020;01/03/2023;R$ 4.130.340,06;R$ 0,00;R$ 3.671.812,32;Concluído;001-003-006-007
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600583383;5900.0111057.19.2;;CONVITE;HALLIBURTON PRODUTOS LTDA.;16328932000106;SERVIÇOS DE ARAME (SLICKLINE) EM POÇOS PRODUTORES DE PETRÓLEO E/OU GÁS E POÇOS INJETORES;Convite, Dec 2745, 3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao objeto, cadastrados ou não.;30/01/2020;27/01/2025;R$ 42.445.942,02;R$ 0,00;R$ 24.418.599,76;Concluído;800-001-002-003-004
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600583487;5900.0110690.19.2;7001989063;CONVITE;HALLIBURTON PRODUTOS LTDA.;16328932000106;SERVIÇOS DE FLUIDOS (ASSISTENCIA TÉCNCIA NO PREPARO, ENQUADRAMENTO MANUTENÇÃO E CONTROLE);Convite, Dec 2745, 3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao objeto, cadastrados ou não.;14/07/2019;12/07/2022;R$ 79.805.223,39;R$ 0,00;R$ 54.670.895,74;Concluído;002-003-004-006-005
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600583488;5900.0110689.19.2;7001989063;CONVITE;HALLIBURTON PRODUTOS LTDA.;16328932000106;FORNECIMENTO DE PRODUTOS QUÍMICOS (SERVIÇOS DE FLUIDOS);Convite, Dec 2745, 3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao objeto, cadastrados ou não.;14/07/2019;12/07/2022;R$ 88.850.286,41;R$ 0,00;R$ 54.000.369,43;Concluído;002-008-007-006-005-004-003-009-010-011
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600583489;5900.0110689.19.2;7001989063;CONVITE;HALLIBURTON PRODUTOS LTDA.;16328932000106;FORNECIMENTO DE PRODUTOS QUÍMICOS (SERVIÇOS DE FLUIDOS);Convite, Dec 2745, 3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao objeto, cadastrados ou não.;14/07/2019;12/07/2022;R$ 6.031.382,92;R$ 0,00;R$ 5.641.965,90;Concluído;002-008-005-007-006-004-003-009-010-011
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600583490;5900.0110689.19.2;7001989063;CONVITE;HALLIBURTON PRODUTOS LTDA.;16328932000106;FORNECIMENTO DE PRODUTOS QUÍMICOS (SERVIÇOS DE FLUIDOS);Convite, Dec 2745, 3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao objeto, cadastrados ou não.;14/07/2019;12/07/2022;R$ 6.833.336,89;R$ 0,00;R$ 6.764.426,62;Concluído;002-003-004-005-006-007-008-009-010-011
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600583491;5900.0110689.19.2;7001989063;CONVITE;HALLIBURTON PRODUTOS LTDA.;16328932000106;FORNECIMENTO DE PRODUTOS QUÍMICOS (SERVIÇOS DE FLUIDOS);Convite, Dec 2745, 3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao objeto, cadastrados ou não.;14/07/2019;12/07/2022;R$ 6.360.562,90;R$ 0,00;R$ 6.360.562,90;Concluído;002-008-003-007-004-005-006-009-010-011
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600583492;5900.0110689.19.2;7001989063;CONVITE;HALLIBURTON PRODUTOS LTDA.;16328932000106;FORNECIMENTO DE PRODUTOS QUÍMICOS (SERVIÇOS DE FLUIDOS);Convite, Dec 2745, 3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao objeto, cadastrados ou não.;14/07/2019;12/07/2022;R$ 6.123.937,39;R$ 0,00;R$ 6.123.937,39;Concluído;002-008-007-006-005-004-003-009-010-011
