COMISIÓN NACIONAL DE HIDROCARBUROS,,,,,,,,,,
PRODUCCION POR OPERADOR,,,,,,,,,,
Producción mensual por operador,,,,,,,,,,
Datos a enero - 2025.,,,,,,,,,,
Notas: Volumen de producción asignado únicamente a la empresa operadora de cada Asignación o Contrato.,,,,,,,,,,
Hidrocarburos líquidos: Se refiere a la suma de petróleo y condensado.,,,,,,,,,,
Las unidades corresponden a Miles de barriles diarios (Mbd) y Millones de pies cúbicos diarios (MMpcd).,,,,,,,,,,
,,,,,,,,,,
FECHA,ASIG_CONT,OPERADOR,HIDROCARBUROS_LIQUIDOS_MBD,PETROLEO_MBD,CONDENSADO_MBD,GAS_MMPCD,GAS_ASOC_MMPCD,GAS_NASOC_MMPCD,N2_MMPCD,AGUA_MBD
06/2016,CNH-R01-L03-A2/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,11.700798427886927,0.0,11.700798427886927,0.03997,0.03975835582048
06/2016,CNH-R01-L03-A25/2015,RENAISSANCE OIL CORP,0.27937009091476345,0.27937009091476345,0.0,0.4596659473158002,0.4596659473158002,0.0,0.011345,0.01845008
06/2016,CNH-R01-L03-A3/2015,CMM CALIBRADOR,0.0,0.0,0.0,4.637587711755827,0.0,4.637587711755827,0.006956,0.0112430667701
06/2016,CNH-R01-L03-A5/2015,STRATA,0.0,0.0,0.0,1.826372797148593,0.0,1.826372797148593,0.004931,0.0141117292371
06/2016,CNH-R01-L03-A6/2015,DIAVAZ OFFSHORE,0.01252096104925273,0.01252096104925273,0.0,0.5912474984389866,0.5912474984389866,0.0,0.017217,0.0377388
06/2016,CNH-R01-L03-A7/2015,SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO,0.545256193132207,0.545256193132207,0.0,1.3563913199482631,1.3563913199482631,0.0,0.005112,0.2012736
06/2016,CNH-R01-L03-A8/2015,DUNAS EXPLORACIÓN Y PRODUCCIÓN,0.0,0.0,0.0,1.124007866885332,0.0,1.124007866885332,0.001798,0.00055403200116
07/2016,ASIGNACIONES,PEMEX EXPLORACIÓN Y PRODUCCIÓN,2156.196441504305,2150.1205124138773,6.075929090427426,5694.485398109486,4491.463448617489,1203.0219494919952,932.3687780000001,528.8236178278581
07/2016,CNH-R01-L03-A1/2015,DIAVAZ OFFSHORE,0.26522277327756866,0.26522277327756866,0.0,0.1502200534943003,0.1502200534943003,0.0,0.001699,0.5004757190466
07/2016,CNH-R01-L03-A11/2015,RENAISSANCE OIL CORP,0.26313199847189334,0.26313199847189334,0.0,2.4971511992893665,2.4971511992893665,0.0,0.09167,1.4139876193548389
07/2016,CNH-R01-L03-A12/2015,GRUPO MAREÓGRAFO,0.0,0.0,0.0,3.085656745382651,0.0,3.085656745382651,0.00432,0.0033821457777871
07/2016,CNH-R01-L03-A15/2015,RENAISSANCE OIL CORP,0.21919923952636955,0.21919923952636955,0.0,2.6536578900526275,2.6536578900526275,0.0,0.06804,1.1496131225806452
07/2016,CNH-R01-L03-A18/2015,STRATA,0.0,0.0,0.0,3.162451605474015,0.0,3.162451605474015,0.028778,0.01489430666034193
07/2016,CNH-R01-L03-A2/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,10.052952046252281,0.0,10.052952046252281,0.034369,0.03350788142204516
07/2016,CNH-R01-L03-A25/2015,RENAISSANCE OIL CORP,0.2883594156000736,0.2883594156000736,0.0,0.47995385167400073,0.47995385167400073,0.0,0.010295,0.01136221935483871
07/2016,CNH-R01-L03-A3/2015,CMM CALIBRADOR,0.0,0.0,0.0,4.50162831135008,0.0,4.50162831135008,0.006752,0.0111810763611871
07/2016,CNH-R01-L03-A5/2015,STRATA,0.0,0.0,0.0,2.2458003320118074,0.0,2.2458003320118074,0.006064,0.02126285820269032
07/2016,CNH-R01-L03-A6/2015,DIAVAZ OFFSHORE,0.01252140545484533,0.01252140545484533,0.0,0.5912474984389865,0.5912474984389865,0.0,0.018601,0.0377388
07/2016,CNH-R01-L03-A7/2015,SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO,0.545256193132207,0.545256193132207,0.0,1.3563913199482633,1.3563913199482633,0.0,0.005112,0.2012736
07/2016,CNH-R01-L03-A8/2015,DUNAS EXPLORACIÓN Y PRODUCCIÓN,0.0,0.0,0.0,1.0928284431441226,0.0,1.0928284431441226,0.001749,0.00048376799609032
08/2016,ASIGNACIONES,PEMEX EXPLORACIÓN Y PRODUCCIÓN,2142.3873716068397,2136.4451285843083,5.94224302253125,5595.293885169882,4429.485190968879,1165.8086942010075,936.8459350000003,524.3896244940512
08/2016,CNH-R01-L03-A1/2015,DIAVAZ OFFSHORE,0.09426793784232644,0.09426793784232644,0.0,0.0503597588950253,0.0503597588950253,0.0,0.00057,0.18374199927195484
08/2016,CNH-R01-L03-A11/2015,RENAISSANCE OIL CORP,0.26313199847189334,0.26313199847189334,0.0,2.4971511992893665,2.4971511992893665,0.0,0.09167,1.4089152
08/2016,CNH-R01-L03-A12/2015,GRUPO MAREÓGRAFO,0.0,0.0,0.0,2.5552864229594072,0.0,2.5552864229594072,0.003577,0.00275385420654194
08/2016,CNH-R01-L03-A15/2015,RENAISSANCE OIL CORP,0.21782595026398674,0.21782595026398674,0.0,2.647487375363036,2.647487375363036,0.0,0.082046,1.1615840322580644
08/2016,CNH-R01-L03-A18/2015,STRATA,0.0,0.0,0.0,2.73290973690221,0.0,2.73290973690221,0.024869,0.00972796375107097
08/2016,CNH-R01-L03-A2/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,13.732376103890797,0.0,13.732376103890797,0.04684,0.05716641548916774
08/2016,CNH-R01-L03-A20/2016,GS OIL & GAS,0.0,0.0,0.0,0.8477131614383356,0.0,0.8477131614383356,0.001611,0.00393673442770788
08/2016,CNH-R01-L03-A21/2016,STRATA,0.0,0.0,0.0,0.6076083376604965,0.0,0.6076083376604965,0.002127,0.0017385320255521
08/2016,CNH-R01-L03-A25/2015,RENAISSANCE OIL CORP,0.2851089389979691,0.2851089389979691,0.0,0.47468086639380497,0.47468086639380497,0.0,0.012252,0.0062898
08/2016,CNH-R01-L03-A3/2015,CMM CALIBRADOR,0.0,0.0,0.0,3.446509566341691,0.0,3.446509566341691,0.00517,0.0099475954512
08/2016,CNH-R01-L03-A5/2015,STRATA,0.0,0.0,0.0,1.9267959416775733,0.0,1.9267959416775733,0.005202,0.01712149562320645
08/2016,CNH-R01-L03-A6/2015,DIAVAZ OFFSHORE,0.00666453803528395,0.00666453803528395,0.0,0.3103207932983371,0.3103207932983371,0.0,0.010023,0.01968098709677419
08/2016,CNH-R01-L03-A7/2015,SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO,0.5440339707021391,0.5440339707021391,0.0,1.1132730411783802,1.1132730411783802,0.0,0.012814,0.2008678064516129
08/2016,CNH-R01-L03-A8/2015,DUNAS EXPLORACIÓN Y PRODUCCIÓN,0.0,0.0,0.0,1.4957361264921292,0.0,1.4957361264921292,0.002393,0.00087274728590323
09/2016,ASIGNACIONES,PEMEX EXPLORACIÓN Y PRODUCCIÓN,2112.0116616845385,2106.322650850548,5.689010833990767,5528.572277311319,4399.866269205301,1128.706008106018,933.1624810000005,517.1816807387019
09/2016,CNH-R01-L03-A11/2015,RENAISSANCE OIL CORP,0.2334774399139498,0.2334774399139498,0.0,1.6615353132014445,1.6615353132014445,0.0,0.060995,1.4089151999999998
09/2016,CNH-R01-L03-A12/2015,GRUPO MAREÓGRAFO,0.0,0.0,0.0,2.8594085415829333,0.0,2.8594085415829333,0.004003,0.00351722869454
09/2016,CNH-R01-L03-A15/2015,RENAISSANCE OIL CORP,0.2252956156580115,0.2252956156580115,0.0,2.9913402039699015,2.9913402039699015,0.0,0.092702,1.11874576
09/2016,CNH-R01-L03-A18/2015,STRATA,0.0,0.0,0.0,3.1435226728328147,0.0,3.1435226728328147,0.028606,0.01375271080766
09/2016,CNH-R01-L03-A2/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,11.358017473777233,0.0,11.358017473777233,0.037412,0.0501597177807
09/2016,CNH-R01-L03-A20/2016,GS OIL & GAS,0.0,0.0,0.0,2.757598040969381,0.0,2.757598040969381,0.005239,0.01342217154432
09/2016,CNH-R01-L03-A21/2016,STRATA,0.0,0.0,0.0,1.9150703556938253,0.0,1.9150703556938253,0.006703,0.00554137292412
09/2016,CNH-R01-L03-A25/2015,RENAISSANCE OIL CORP,0.22649647248434404,0.22649647248434404,0.0,1.058249551970712,1.058249551970712,0.0,0.027313,0.0073381
09/2016,CNH-R01-L03-A3/2015,CMM CALIBRADOR,0.0,0.0,0.0,3.039192994152384,0.0,3.039192994152384,0.004559,0.00834729232986
09/2016,CNH-R01-L03-A5/2015,STRATA,0.0,0.0,0.0,1.70560991593802,0.0,1.70560991593802,0.004605,0.01618003499112
09/2016,CNH-R01-L03-A7/2015,SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO,0.7107012339674099,0.7107012339674099,0.0,1.0771138250973773,1.0771138250973773,0.0,0.012398,0.46104234440285996
09/2016,CNH-R01-L03-A8/2015,DUNAS EXPLORACIÓN Y PRODUCCIÓN,0.0,0.0,0.0,1.2399862805938313,0.0,1.2399862805938313,0.001984,0.00056904806002
10/2016,ASIGNACIONES,PEMEX EXPLORACIÓN Y PRODUCCIÓN,2101.5676932503875,2096.1221163964933,5.445576853894354,5492.858521663458,4391.1132576118425,1101.745264051611,950.2530780000002,506.3137452134466
10/2016,CNH-R01-L03-A11/2015,RENAISSANCE OIL CORP,0.24573970516852517,0.24573970516852517,0.0,1.1110112670667045,1.1110112670667045,0.0,0.040785,1.4391468193548387
10/2016,CNH-R01-L03-A12/2015,GRUPO MAREÓGRAFO,0.0,0.0,0.0,3.0388101978592768,0.0,3.0388101978592768,0.004254,0.0038442180218129
10/2016,CNH-R01-L03-A15/2015,RENAISSANCE OIL CORP,0.24507438072409507,0.24507438072409507,0.0,3.0897462442325447,3.0897462442325447,0.0,0.07851,0.8627170838709677
10/2016,CNH-R01-L03-A18/2015,STRATA,0.0,0.0,0.0,3.040910416677261,0.0,3.040910416677261,0.027672,0.01414127171756129
10/2016,CNH-R01-L03-A2/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,10.432277144368435,0.0,10.432277144368435,0.034697,0.04178690858440645
10/2016,CNH-R01-L03-A20/2016,GS OIL & GAS,0.0,0.0,0.0,2.123959592774668,0.0,2.123959592774668,0.004036,0.01080433499320645
