COMISIÓN NACIONAL DE HIDROCARBUROS,,,,,,,,,,
PRODUCCION POR UBICACIÓN,,,,,,,,,,
Datos de producción mensual cuenca y ubicación.,,,,,,,,,,
Datos a enero - 2025.,,,,,,,,,,
Notas: Las unidades corresponden a Miles de barriles diarios (Mbd) y Millones de pies cúbicos diarios (MMpcd).,,,,,,,,,,
La serie de nitrógeno se comienza a reportar a partir de 2016.,,,,,,,,,,
"A partir de 2016 se contabiliza la producción de petróleo a una temperatura de 15.56 grados Celsius, de conformidad",,,,,,,,,,
Hidrocarburos líquidos: Se refiere a la suma de petróleo y condensado.,,,,,,,,,,
con lo establecido en los Lineamientos Técnicos en Materia de Medición de Hidrocarburos.,,,,,,,,,,
,,,,,,,,,,
FECHA,CUENCA,UBICACION,HIDROCARBUROS_LIQUIDOS_MBD,PETROLEO_MBD,CONDENSADO_MBD,GAS_MMPCD,GAS_ASOCIADO_MMPCD,GAS_NO_ASOCIADO_MMPCD,NITROGENO_MMPCD,AGUA_MBD
04/2021,Burgos,Terrestre,1.564959305,0.0,1.564959305,527.488123397,0.0,527.488123397,1.548699,10.949904356
03/2021,Burgos,Terrestre,1.745738142,0.0,1.745738142,537.187281306,0.0,537.187281306,1.555253,11.670995436
02/2021,Burgos,Terrestre,1.418553638,0.0,1.418553638,523.151408892,0.0,523.151408892,1.474808,10.167020423
01/2021,Burgos,Terrestre,1.222579955,0.0,1.222579955,524.247352715,0.0,524.247352715,1.464964,10.073885348
12/2020,Burgos,Terrestre,0.95811915,0.0,0.95811915,513.797505324,0.0,513.797505324,5.116221,9.820519527
11/2020,Burgos,Terrestre,0.923867065,0.0,0.923867065,513.144088049,0.0,513.144088049,1.408912,9.447988788
10/2020,Burgos,Terrestre,1.821430546,0.0,1.821430546,578.215686133,0.0,578.215686133,1.848368,11.404953182
09/2020,Burgos,Terrestre,1.798213266,0.0,1.798213266,578.055944002,0.0,578.055944002,1.788727,10.763618769
08/2020,Burgos,Terrestre,1.829584576,0.0,1.829584576,579.390097991,0.0,579.390097991,2.064079,10.450641987
07/2020,Burgos,Terrestre,1.996821287,0.0,1.996821287,596.101071844,0.0,596.101071844,2.387165,9.45051833
06/2020,Burgos,Terrestre,2.244580387,0.0,2.244580387,625.324687899,0.0,625.324687899,2.36387,10.893525851
05/2020,Burgos,Terrestre,2.49283851,0.0,2.49283851,635.797275576,0.0,635.797275576,1.68582,11.036155107
04/2020,Burgos,Terrestre,2.766674968,0.0,2.766674968,640.357161,0.0,640.357161,1.894618,11.165426397
03/2020,Burgos,Terrestre,3.008639925,0.0,3.008639925,642.68519731,0.0,642.68519731,1.759238,11.472648908
02/2020,Burgos,Terrestre,3.246376004,0.0,3.246376004,646.581834271,0.0,646.581834271,1.33893,11.134674893
01/2020,Burgos,Terrestre,3.681619841,0.175578793,3.506041048,641.476908011,0.059300604,641.417607407,1.146318,11.252604928
12/2019,Burgos,Terrestre,3.801304312,0.207420339,3.593883973,642.35615806,0.316630342,642.039527718,1.036627,10.901547064
11/2019,Burgos,Terrestre,3.859387832,0.203366704,3.656021128,654.838999137,0.389426402,654.449572735,1.405497,11.109059348
10/2019,Burgos,Terrestre,3.855380797,0.219984897,3.6353959,655.417158741,0.010029305,655.407129436,1.280433,11.900584828
09/2019,Burgos,Terrestre,3.924494639,0.228625512,3.695869127,649.753503635,0.008709016,649.744794619,1.713152,11.640754173
08/2019,Burgos,Terrestre,4.097291391,0.273837306,3.823454085,656.126177721,0.012204394,656.113973327,1.63983,12.169958722
07/2019,Burgos,Terrestre,4.430143074,0.352958751,4.077184323,639.643393298,0.015962942,639.627430356,2.413472,11.986254821
06/2019,Burgos,Terrestre,4.281546365,0.277547675,4.00399869,629.172006704,0.012159218,629.159847486,2.403911,11.978246292
05/2019,Burgos,Terrestre,3.864924553,0.307093554,3.557830999,613.9421695,0.013968655,613.928200845,2.463948,11.529274438
04/2019,Burgos,Terrestre,3.689909319,0.2913124,3.398596919,609.800340878,0.012479275,609.787861603,1.938424,11.243321846
03/2019,Burgos,Terrestre,3.695255522,0.305099432,3.39015609,617.362003018,0.01207727,617.349925748,2.451353,12.720803794
02/2019,Burgos,Terrestre,3.82689749,0.305099432,3.521798058,617.180373959,0.000439709,617.17993425,1.760094,13.348094547
01/2019,Burgos,Terrestre,3.398885732,0.0,3.398885732,620.672137164,0.0,620.672137164,2.370345,13.096486628
12/2018,Burgos,Terrestre,3.601520199,0.0,3.601520199,624.390666805,0.0,624.390666805,2.562917,13.025002911
11/2018,Burgos,Terrestre,3.020378333,0.0,3.020378333,620.287342526,0.0,620.287342526,2.409661,13.049784812
10/2018,Burgos,Terrestre,2.875353752,0.0,2.875353752,615.591208077,0.0,615.591208077,2.779446,13.044568217
09/2018,Burgos,Terrestre,2.484618861,0.0,2.484618861,611.887775351,0.0,611.887775351,2.702113,12.79723421
08/2018,Burgos,Terrestre,2.399533494,0.0,2.399533494,616.149825103,0.0,616.149825103,2.169983,12.739014398
07/2018,Burgos,Terrestre,2.384503819,0.0,2.384503819,620.148626313,0.0,620.148626313,2.713503,11.738957069
06/2018,Burgos,Terrestre,2.523807223,0.0,2.523807223,630.390076978,0.0,630.390076978,2.753915,11.786824243
05/2018,Burgos,Terrestre,2.572746463,0.0,2.572746463,645.547575195,0.0,645.547575195,2.825684,13.838402853
04/2018,Burgos,Terrestre,2.780149526,0.0,2.780149526,654.008412616,0.0,654.008412616,2.403098,13.772350002
03/2018,Burgos,Terrestre,2.703779742,0.0,2.703779742,668.61334908,0.0,668.61334908,2.405971,14.098423897
02/2018,Burgos,Terrestre,2.851990536,0.0,2.851990536,673.538922553,0.0,673.538922553,7.128793,14.837449444
01/2018,Burgos,Terrestre,3.256470917,0.0,3.256470917,680.534884056,0.0,680.534884056,2.159028,14.708011445
12/2017,Burgos,Terrestre,3.573546222,0.0,3.573546222,690.483948192,0.0,690.483948192,2.35724,14.277182457
11/2017,Burgos,Terrestre,3.788452457,0.0,3.788452457,699.62777307,0.0,699.62777307,2.89822,14.948990662
10/2017,Burgos,Terrestre,4.074797797,0.0,4.074797797,700.586796157,0.0,700.586796157,2.663323,14.897332393
09/2017,Burgos,Terrestre,4.882517304,0.0,4.882517304,700.25855996,0.0,700.25855996,3.405919,14.80750322
08/2017,Burgos,Terrestre,4.187614515,0.0,4.187614515,698.883482784,0.0,698.883482784,4.284912,14.616094137
07/2017,Burgos,Terrestre,4.484173471,0.0,4.484173471,699.445880321,0.0,699.445880321,4.401792,0.0
06/2017,Burgos,Terrestre,4.688798147,0.0,4.688798147,705.180218905,0.0,705.180218905,4.306398,0.0
05/2017,Burgos,Terrestre,4.81638152,0.0,4.81638152,693.617554337,0.0,693.617554337,4.200159,0.0
04/2017,Burgos,Terrestre,4.843459652,0.0,4.843459652,692.532065771,0.0,692.532065771,4.08162,15.353216362
