COMISION NACIONAL DE HIDROCARBUROS
PRODUCCION REPORTADA AL FMP POR CONTRATO
FECHA DE DESCARGA: 1/4/2026 - 11:36:57 P.M.


,,
NACIONAL
  NACIONAL,2016/MAY,2016/JUN,2016/JUL,2016/AGO,2016/SEP,2016/OCT,2016/NOV,2016/DIC,2017/ENE,2017/FEB,2017/MAR,2017/ABR,2017/MAY,2017/JUN,2017/JUL,2017/AGO,2017/SEP,2017/OCT,2017/NOV,2017/DIC,2018/ENE,2018/FEB,2018/MAR,2018/ABR,2018/MAY,2018/JUN,2018/JUL,2018/AGO,2018/SEP,2018/OCT,2018/NOV,2018/DIC,2019/ENE,2019/FEB,2019/MAR,2019/ABR,2019/MAY,2019/JUN,2019/JUL,2019/AGO,2019/SEP,2019/OCT,2019/NOV,2019/DIC,2020/ENE,2020/FEB,2020/MAR,2020/ABR,2020/MAY,2020/JUN,2020/JUL,2020/AGO,2020/SEP,2020/OCT,2020/NOV,2020/DIC,2021/ENE,2021/FEB,2021/MAR,2021/ABR,2021/MAY,2021/JUN,2021/JUL,2021/AGO,2021/SEP,2021/OCT,2021/NOV,2021/DIC,2022/ENE,2022/FEB,2022/MAR,2022/ABR,2022/MAY,2022/JUN,2022/JUL,2022/AGO,2022/SEP,2022/OCT,2022/NOV,2022/DIC,2023/ENE,2023/FEB,2023/MAR,2023/ABR,2023/MAY,2023/JUN,2023/JUL,2023/AGO,2023/SEP,2023/OCT,2023/NOV,2023/DIC,2024/ENE,2024/FEB,2024/MAR,2024/ABR,2024/MAY,2024/JUN,2024/JUL,2024/AGO,2024/SEP,2024/OCT,2024/NOV,2024/DIC,2025/ENE
          ASOCIACIONES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.844,0.709,0.55,0.74,0.497,0.442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          MIGRACIONES,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095,0.106,0.098,0.076,1.098,0,0.12,0,0,0.155,0.179,1.387,0.944,1.071,1.065,1.958,1.573,0.394,0.493,0.505,0.478,0.502,0.391,0.525,0.609,0.721,0.719,0.778,0.855,0.834,0.785,0.918,0.895,0.843,0.798,0.68,0.645,0.562,0.556,0.515,0.517,0.495,0.53,0.506,0.392,0.466,0.411,0.301,0.378,0.338,0.345,0.357,0.406,0.376,0.34,0.435,0.456,0.494,0.352,0.412,0.331,0.302,0.358,0.271,0.224,0.456,0.295,0.299,0.168,0.411,0.234,0.281,0.154,0.212,0.206,0.181,0.256,0.283,0.236,0.249,0.23,0.239,0.193,0.186,0.131,0.186,0.112,0.146,0.176,0.168,0.08,0.016
     GAS (MMPCD),20.951,30.3,28.551,34.071,34.521,31.582,32.695,34.219,35.275,35.217,35.879,29.9,39.522,39.879,42.026,39.48,40.256,37.406,38.795,48.24,51.614,50.545,135.956,143.667,143.55,139.017,137.422,150.953,147.952,151.423,165.558,171.131,171.02,170.635,173.878,172.777,186.362,198.746,212.66,230.893,228.914,235.382,234.989,228.476,239.536,248.767,236.922,238.882,242.95,244.095,240.003,236.472,233.8,226.302,219.091,220.582,219.027,207.989,214.672,216.167,219.408,215.622,199.694,204.033,213.344,209.802,215.247,213.948,233.395,244.7,249.062,230.413,241.275,245.88,241.705,242.549,243.577,244.281,279.079,242.089,234.776,225.805,229.48,226.082,229.278,233.112,236.533,237.544,230.158,213.983,220.45,215.97,216.346,209.248,201.108,192.133,193.94,195.662,174.768,175.266,170.929,182.338,181.768,159.501,147.468
          RONDAS,20.951,30.3,28.551,34.071,34.521,31.582,32.695,34.219,35.275,35.217,35.879,29.9,34.403,34.088,36.067,33.21,33.959,33.33,34.031,40.265,40.629,40.704,40.212,41.328,42.728,42.378,45.312,51.198,50.137,43.513,51.679,51.097,49.852,49.309,50.622,53.019,54.666,55.273,55.175,59.18,56.156,58.265,60.252,59.422,54.265,60.805,54.639,55.356,57.726,60.978,60.034,62.143,60.963,63.188,57.467,62.385,62.675,56.378,62.818,62.913,65.002,64.058,56.309,60.114,63.284,64.592,69.275,66.933,85.897,96.833,105.27,93.487,101.821,102.433,102.921,106.028,106.463,107.245,139.398,101.901,93.644,88.947,87.879,85.302,90.606,93.15,97.849,99.48,102.199,87.43,87.343,83.044,84.053,80.981,76.062,69.576,68.706,71.828,69.46,70.506,75.06,72.685,70.728,69.123,69.582
          ASOCIACIONES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.335,39.485,38.927,35.151,31.371,36.187,27.358,25.87,26.956,30.481,31.74,29.971,28.926,25.513,26.222,29.519,32.636,30.93,29.471,32.478,32.234,32.478,35.464,34.182,30.353,32.126,33.944,34.263,35.376,35.248,36.749,31.034,30.043,28.943,29.376,27.912,27.608,28.43,30.401,29.018,21.383,22.586,26.301,22.586,26.098,26.172,24.474,25.696,24.472,23.111,22.366,23.111,22.366,22.09,23.111,23.503,24.455,23.124,21.847,22.018,23.786,22.62,20.547,22.415,21.615,22.067,18.367,19.338,18.694,18.032,16.9,19.458,19.114,17.137,20.273,20.536,17.593,19.178,16.926,20.079,19.64,17.571,17.95
          MIGRACIONES,0,0,0,0,0,0,0,0,0,0,0,0,5.12,5.79,5.959,6.27,6.297,4.076,4.764,7.975,10.985,9.84,61.409,62.854,61.895,61.489,60.739,63.568,70.457,82.04,86.923,89.553,89.429,91.354,94.33,94.244,105.474,113.954,124.849,140.783,143.287,144.638,142.502,136.576,149.807,153.78,151.93,151.401,151.28,148.853,144.593,139.081,136.088,132.08,131.581,129.254,126.976,123.699,124.246,124.825,124.004,122.546,122.001,121.333,123.759,122.623,119.874,120.843,123.024,122.171,119.319,113.814,117.088,120.336,116.418,114.431,114.002,113.533,115.226,117.064,119.285,114.84,117.815,118.16,118.124,117.546,117.069,115.997,109.591,107.215,114.413,114.894,115.393,108.809,105.932,105.42,104.961,103.299,87.716,85.582,78.943,89.574,91.4,72.807,59.936
     CONDENSABLE (MBD),0.084,0.126,0.11,0.173,0.16,0.153,0.155,0.142,0.139,0.163,0.182,0.152,0.279,0.162,0.201,0.176,0.313,0.37,0.462,0,0.407,0.389,1.26,1.624,2.356,1.757,1.871,2.144,2.771,2.076,2.566,2.63,2.046,1.695,1.415,1.435,1.727,1.585,1.505,1.787,1.22,1.41,1.765,2.057,2.094,2.358,2.531,3.079,2.813,2.659,2.604,2.455,2.712,2.403,2.428,2.346,2.156,2.244,2.368,2.405,2.633,2.781,2.078,2.176,2.197,2.087,2.079,2.222,2.368,2.435,2.65,2.342,2.357,2.447,2.548,2.362,2.291,2.76,2.606,2.291,2.358,2.584,2.883,2.356,2.477,2.373,2.246,2.205,2.397,2.434,2.85,2.194,2.346,2.146,2.225,2.587,2.491,2.334,1.949,1.616,1.757,1.96,1.999,1.715,1.496
          RONDAS,0.084,0.126,0.11,0.173,0.16,0.153,0.155,0.142,0.139,0.163,0.182,0.152,0.279,0.162,0.201,0.176,0.313,0.37,0.417,0,0.257,0.256,0.25,0.257,0.285,0.25,0.39,0.474,0.479,0.382,0.418,0.426,0.39,0.433,0.418,0.416,0.428,0.483,0.463,0.524,0.507,0.494,0.52,0.579,0.598,0.661,0.63,0.647,0.71,0.737,0.843,0.641,0.625,0.671,0.626,0.634,0.535,0.47,0.543,0.623,0.671,0.785,0.531,0.564,0.595,0.635,0.594,0.647,0.885,0.852,1.162,0.803,0.975,0.945,0.937,0.942,1.025,1.228,1.084,0.881,0.866,0.795,0.76,0.725,0.767,0.792,0.891,0.816,0.909,0.829,1.024,0.836,0.847,0.766,0.808,0.868,0.784,0.803,0.929,0.616,0.694,0.703,0.609,0.639,0.53
          ASOCIACIONES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459,0.388,0.844,0.709,0.55,0.74,0.497,0.442,0.516,0.601,0.553,0.573,0.466,0.429,0.399,0.376,0.447,0.379,0.293,0.267,0.386,0.463,0.433,0.432,0.479,0.895,0.775,0.703,0.708,0.612,0.805,0.472,0.545,0.542,0.458,0.543,0.551,0.604,0.608,0.617,0.458,0.444,0.449,0.4,0.432,0.441,0.429,0.458,0.436,0.433,0.347,0.406,0.41,0.426,0.377,0.464,0.425,0.374,0.407,0.401,0.526,0.488,0.452,0.455,0.464,0.385,0.305,0.374,0.406,0.292,0.303,0.301,0.353,0.37,0.379,0.44,0.295,0.349,0.314,0.368,0.499,0.367,0.278
          MIGRACIONES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0,0.15,0.133,0.552,0.98,1.228,0.798,0.932,0.93,1.796,1.252,1.632,1.603,1.103,0.69,0.531,0.591,0.899,0.725,0.595,0.883,0.42,0.65,0.859,1.015,1.063,1.265,1.422,1.537,1.327,1.219,1.053,1.202,1.282,1.261,1.257,1.17,1.164,1.231,1.274,1.178,1.354,1.38,1.09,1.168,1.153,1.051,1.052,1.134,1.054,1.126,1.052,1.107,1.034,1.096,1.201,0.994,0.889,1.068,1.098,1.036,1.084,1.388,1.597,1.142,1.258,1.126,0.89,1.003,1.183,1.23,1.42,1.066,1.196,1.079,1.064,1.349,1.328,1.091,0.725,0.65,0.749,0.889,0.891,0.71,0.688
