Numero;Tipo_de_incidente;DSC_GRAVIDADE_TIPO;DSC_QUASE_ACIDENTE_ACIDENTE
1502/000032;SSO - Quase acidente de alto potencial;;
1502/000033;SSO - Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;;
1502/000034;SSO - Descarga menor de óleo;;
1502/000035;SSO - Falha no Blowout Preventer (BOP);;
1502/000036;Reclassificação;;
1502/000037;SSO - Descarga menor de óleo;;
1502/000038;Reclassificação;;
1502/000039;Reclassificação;;
1502/000040;Reclassificação;;
1502/000041;Reclassificação;;
1502/000042;SSO - Perda de contenção primária significante de óleo;;
1502/000043;SSO - Perda de contenção significante de gás inflamável;;
1502/000044;SSO - Queda de objetos;;
1502/000045;SSO - Falha no Blowout Preventer (BOP);;
1502/000046;SSO - Descarga menor de óleo;;
1502/000047;Reclassificação;;
1502/000047;SSO - Parada emergencial de nível menor;;
1502/000048;SSO - Parada emergencial de nível menor;;
1502/000049;Reclassificação;;
1502/000050;Reclassificação;;
1502/000051;SSO - Queda de objetos;;
1502/000052;SSO - Princípio de incêndio;;
1502/000052;SSO - Quase acidente de alto potencial;;
1502/000053;SSO - Queda de objetos;;
1502/000054;Reclassificação;;
1502/000055;SSO - Perda de contenção primária significante de fluido de perfuração, completação ou intervenção em poços;;
1502/000056;Reclassificação;;
1502/000057;Perda de contenção primária significante de material com alto potencial de dano;LEVE;Quase acidente
1502/000057;Quase acidente de alto potencial;LEVE;Quase acidente
1502/000058;Reclassificação;;
1502/000058;SSO - Parada emergencial de nível menor;;
1502/000060;Reclassificação;;
1502/000061;SSO - Ferimento grave;;
1502/000062;SSO - Queda de objetos;;
1502/000063;SSO - Explosão de atmosfera explosiva;;
1502/000063;SSO - Fatalidade;;
1502/000063;SSO - Ferimento grave;;
1502/000063;SSO - Perda de contenção primária significante de óleo;;
1502/000064;Reclassificação;;
1502/000065;SSO - Falha no Blowout Preventer (BOP);;
1502/000065;SSO - Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;;
1502/000066;SSO - Falha no Blowout Preventer (BOP);;
1502/000067;SSO - Descarga menor de óleo;;
1502/000068;SSO - Quase acidente de alto potencial;;
1502/000069;SSO - Parada emergencial de nível menor;;
1502/000070;SSO - Parada emergencial de nível menor;;
1502/000071;SSO - Queda de objetos;;
1502/000072;SSO - Princípio de incêndio;;
1502/000073;SSO - Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;;
1502/000074;Reclassificação;;
1502/000075;Reclassificação;;
1502/000076;SSO - Queda de objetos;;
1502/000077;SSO - Descarga menor de óleo;;
1502/000078;SSO - Descarga menor de óleo;;
1502/000079;Reclassificação;;
1502/000079;SSO - Parada emergencial de nível menor;;
1502/000080;SSO - Perda de contenção significante de gás inflamável;;
1502/000081;SSO - Parada emergencial de nível menor;;
1502/000082;SSO - Perda de contenção significante de gás inflamável;;
1502/000083;SSO - Parada emergencial de nível menor;;
1502/000084;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1502/000085;SSO - Quase acidente de alto potencial;;
1502/000086;Princípio de incêndio;LEVE;Acidente
1502/000087;SSO - Parada emergencial de nível menor;;
1502/000088;SSO - Descarga menor de óleo;;
1502/000089;SSO - Queda de objetos;;
1502/000090;SSO - Ferimento grave;;
1502/000091;Reclassificação;;
1502/000091;SSO - Parada emergencial de nível menor;;
1502/000092;SSO - Princípio de incêndio;;
1502/000093;SSO - Parada emergencial de nível menor;;
1502/000094;SSO - Falha no Blowout Preventer (BOP);;
1502/000095;Reclassificação;;
1502/000096;Reclassificação;;
1502/000097;SSO - Descarga menor de óleo;;
1502/000098;SSO - Queda de objetos;;
1502/000099;SSO - Falha no Blowout Preventer (BOP);;
1502/000100;SSO - Perda de contenção significante de gás inflamável;;
1502/000101;Princípio de incêndio;LEVE;Acidente
1502/000102;Reclassificação;;
1502/000103;SSO - Queda de objetos;;
1502/000104;SSO - Ferimento grave;;
1502/000105;SSO - Reclassificação;;
1502/000106;Reclassificação;;
1502/000107;SSO - Reclassificação;;
1502/000108;SSO - Perda de contenção significante de gás inflamável;;
1502/000109;Reclassificação;;
1502/000111;Reclassificação;;
1502/000112;SSO - Queda de objetos;;
1502/000113;SSO - Queda de objetos;;
1502/000114;SSO - Falha no Blowout Preventer (BOP);;
1502/000115;SSO - Falha no Blowout Preventer (BOP);;
1502/000116;Reclassificação;;
1502/000117;Reclassificação;;
1502/000118;SSO - Parada emergencial de nível menor;;
1502/000119;SSO - Quase acidente de alto potencial;;
1502/000120;SSO - Perda de contenção primária significante de óleo;;
1502/000121;SSO - Parada emergencial de nível menor;;
1502/000122;Falha no Blowout Preventer (BOP);LEVE;Quase acidente
1502/000122;Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;MODERADO;Acidente
1502/000123;SSO - Princípio de incêndio;;
1502/000124;SSO - Parada emergencial de nível menor;;
1502/000125;SSO - Parada emergencial de nível menor;;
1502/000126;Reclassificação;;
1502/000126;SSO - Parada emergencial de nível menor;;
1502/000127;SSO - Parada emergencial de nível menor;;
1502/000128;SSO - Parada emergencial de nível menor;;
1502/000129;SSO - Quase acidente de alto potencial;;
1502/000130;SSO - Quase acidente de alto potencial;;
1502/000131;SSO - Quase acidente de alto potencial;;
1502/000132;SSO - Queda de objetos;;
1502/000133;SSO - Falha no Blowout Preventer (BOP);;
1502/000134;SSO - Perda de contenção significante de gás inflamável;;
1502/000135;SSO - Parada emergencial de nível menor;;
1502/000136;Reclassificação;;
1502/000137;Reclassificação;;
1502/000138;SSO - Parada emergencial de nível menor;;
1502/000139;Reclassificação;;
1502/000140;SSO - Quase acidente de alto potencial;;
1502/000141;Reclassificação;;
1502/000142;Reclassificação;;
1502/000143;Reclassificação;;
1502/000144;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1502/000144;SSO - Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;;
1502/000145;SSO - Quase acidente de alto potencial;;
1502/000145;SSO - Queda de objetos;;
1502/000146;SSO - Falha no Blowout Preventer (BOP);;
1502/000147;SSO - Parada emergencial de nível menor;;
1502/000148;SSO - Parada emergencial de nível menor;;
1502/000149;SSO - Abalroamento significante;;
1502/000150;SSO - Quase acidente de alto potencial;;
1502/000151;SSO - Parada emergencial de nível menor;;
1502/000152;Reclassificação;;
1502/000152;SSO - Parada emergencial de nível menor;;
1502/000153;SSO - Princípio de incêndio;;
1502/000154;SSO - Queda de objetos;;
1502/000155;SSO - Quase acidente de alto potencial;;
1502/000155;SSO - Queda de objetos;;
1502/000156;Reclassificação;;
1502/000157;Abalroamento significante;MODERADO;Acidente
1502/000158;Reclassificação;;
1502/000159;Reclassificação;;
1502/000160;Reclassificação;;
1502/000161;SSO - Falha no Blowout Preventer (BOP);;
1502/000162;Reclassificação;;
1502/000162;SSO - Parada emergencial de nível menor;;
1502/000163;SSO - Quase acidente de alto potencial;;
1502/000163;SSO - Queda de objetos;;
1502/000164;SSO - Parada emergencial de nível menor;;
1502/000165;Reclassificação;;
1502/000166;SSO - Parada emergencial de nível menor;;
1502/000167;SSO - Descarga menor de óleo;;
1502/000168;Reclassificação;;
1502/000169;Reclassificação;;
1502/000170;SSO - Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;;
1502/000171;SSO - Parada emergencial de nível menor;;
1502/000172;SSO - Parada emergencial de nível menor;;
1502/000173;SSO - Quase acidente de alto potencial;;
1502/000174;SSO - Quase acidente de alto potencial;;
1502/000175;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1502/000176;SSO - Descarga menor de óleo;;
1502/000177;SSO - Princípio de incêndio;;
1502/000178;SSO - Parada emergencial de nível menor;;
1502/000178;SSO - Perda de contenção significante de gás inflamável;;
1502/000179;Reclassificação;;
1503/000001;SSO - Queda de objetos;;
1503/000002;SSO - Perda de contenção primária significante de óleo;;
1503/000004;SSO - Parada emergencial de nível menor;;
1503/000005;Reclassificação;;
1503/000006;SSO - Princípio de incêndio;;
1503/000007;SSO - Parada emergencial de nível menor;;
1503/000007;SSO - Quase acidente de alto potencial;;
1503/000008;Reclassificação;;
1503/000009;SSO - Reclassificação;;
1503/000010;Reclassificação;;
1503/000011;SSO - Princípio de incêndio;;
1503/000012;SSO - Descarga significante de óleo;;
1503/000013;SSO - Falha no Blowout Preventer (BOP);;
1503/000013;SSO - Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;;
1503/000014;SSO - Princípio de incêndio;;
1503/000015;SSO - Parada emergencial de nível menor;;
1503/000016;SSO - Parada emergencial de nível menor;;
1503/000017;Reclassificação;;
1503/000018;Reclassificação;;
1503/000018;SSO - Parada emergencial de nível menor;;
1503/000019;Reclassificação;;
1503/000019;SSO - Parada emergencial de nível menor;;
1503/000020;Reclassificação;;
1503/000020;SSO - Parada emergencial de nível menor;;
1503/000021;Reclassificação;;
1503/000022;SSO - Parada emergencial de nível menor;;
1503/000023;SSO - Perda de contenção primária significante de água oleosa;;
1503/000024;SSO - Quase acidente de alto potencial;;
1503/000025;SSO - Parada emergencial de nível menor;;
1503/000026;SSO - Descarga significante de material com alto potencial de dano;;
1503/000027;SSO - Parada emergencial de nível menor;;
1503/000028;Reclassificação;;
1503/000029;SSO - Parada emergencial de nível menor;;
1503/000030;Reclassificação;;
1503/000031;SSO - Parada emergencial de nível menor;;
1503/000032;SSO - Parada emergencial de nível menor;;
1503/000033;Ferimento grave;MODERADO;Acidente
1503/000034;SSO - Descarga significante de material com alto potencial de dano;;
1503/000035;Reclassificação;;
1503/000035;SSO - Parada emergencial de nível menor;;
1503/000036;SSO - Parada emergencial de nível menor;;
1503/000037;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1503/000038;SSO - Perda de contenção maior de gás inflamável;;
1503/000039;SSO - Parada emergencial de nível menor;;
1503/000040;SSO - Quase acidente de alto potencial;;
1503/000041;Reclassificação;;
1503/000041;SSO - Parada emergencial de nível menor;;
1503/000042;SSO - Quase acidente de alto potencial;;
1503/000043;Reclassificação;;
1503/000044;Reclassificação;;
1503/000045;Reclassificação;;
1503/000045;SSO - Parada emergencial de nível menor;;
1503/000046;SSO - Parada emergencial de nível menor;;
1503/000047;SSO - Parada emergencial de nível menor;;
1503/000048;SSO - Princípio de incêndio;;
1503/000049;Princípio de incêndio;LEVE;Acidente
1503/000050;SSO - Perda de contenção primária significante de água oleosa;;
1503/000051;SSO - Falha no Blowout Preventer (BOP);;
1503/000052;SSO - Parada emergencial de nível menor;;
1503/000053;SSO - Quase acidente de alto potencial;;
1503/000053;SSO - Queda de objetos;;
1503/000054;Reclassificação;;
1503/000055;Reclassificação;;
1503/000056;Reclassificação;;
1503/000057;SSO - Quase acidente de alto potencial;;
1503/000058;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1503/000059;SSO - Parada emergencial de nível menor;;
1503/000060;SSO - Parada emergencial de nível menor;;
1503/000061;SSO - Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;;
1503/000062;Reclassificação;;
1503/000063;Reclassificação;;
1503/000064;Reclassificação;;
1503/000065;Ferimento grave;MODERADO;Acidente
1503/000067;Reclassificação;;
1503/000068;Reclassificação;;
1503/000069;SSO - Falha no Blowout Preventer (BOP);;
1503/000070;Reclassificação;;
1503/000070;SSO - Parada emergencial de nível menor;;
1503/000071;Reclassificação;;
1503/000071;SSO - Parada emergencial de nível menor;;
1503/000072;SSO - Princípio de incêndio;;
1503/000073;SSO - Parada emergencial de nível menor;;
1503/000074;SSO - Queda de objetos;;
1503/000075;SSO - Falha no Blowout Preventer (BOP);;
1503/000076;SSO - Queda de objetos;;
1503/000077;Reclassificação;;
1503/000078;SSO - Quase acidente de alto potencial;;
1503/000079;SSO - Descarga menor de fluido de perfuração, completação ou intervenção em poços;;
1503/000080;SSO - Parada emergencial de nível menor;;
1503/000081;SSO - Parada emergencial de nível menor;;
1503/000082;SSO - Quase acidente de alto potencial;;
1503/000083;SSO - Queda de objetos;;
1503/000084;Reclassificação;;
1503/000085;SSO - Quase acidente de alto potencial;;
1503/000086;Reclassificação;;
1503/000087;Reclassificação;;
1503/000088;SSO - Parada emergencial de nível menor;;
1503/000089;SSO - Descarga menor de óleo;;
1503/000090;SSO - Queda de objetos;;
1503/000091;SSO - Parada emergencial de nível menor;;
1503/000092;SSO - Princípio de incêndio;;
1503/000094;SSO - Reclassificação;;
1503/000095;Reclassificação;;
1503/000096;Reclassificação;;
1503/000097;Reclassificação;;
1503/000098;Reclassificação;;
1503/000099;Reclassificação;;
1503/000100;SSO - Ferimento grave;;
1503/000101;Reclassificação;;
1503/000102;Reclassificação;;
1503/000103;Reclassificação;;
1503/000104;SSO - Parada emergencial de nível menor;;
1503/000105;SSO - Quase acidente de alto potencial;;
1503/000105;SSO - Queda de objetos;;
1503/000106;Princípio de incêndio;LEVE;Acidente
1503/000107;SSO - Descarga menor de óleo;;
1503/000107;SSO - Parada emergencial de nível menor;;
1503/000107;SSO - Princípio de incêndio;;
1503/000108;SSO - Parada emergencial de nível menor;;
1503/000109;SSO - Parada emergencial de nível menor;;
1503/000110;SSO - Quase acidente de alto potencial;;
1503/000111;SSO - Parada emergencial de nível menor;;
1503/000112;SSO - Quase acidente de alto potencial;;
1503/000112;SSO - Queda de objetos;;
1503/000113;SSO - Reclassificação;;
1503/000114;Reclassificação;;
1503/000115;SSO - Princípio de incêndio;;
1503/000116;SSO - Princípio de incêndio;;
1503/000117;Queda de objetos;LEVE;Quase acidente
1503/000118;SSO - Parada emergencial de nível menor;;
1503/000119;SSO - Reclassificação;;
1503/000120;Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;MODERADO;Acidente
1503/000121;Reclassificação;;
1503/000122;Reclassificação;;
1503/000123;Reclassificação;;
1503/000124;SSO - Descarga menor de óleo;;
1503/000125;SSO - Parada emergencial de nível menor;;
1503/000126;SSO - Queda de objetos;;
1503/000127;SSO - Quase acidente de alto potencial;;
1503/000128;SSO - Desconexão de emergência;;
1503/000128;SSO - Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;;
1503/000128;SSO - Descarga maior de fluido de perfuração, completação ou intervenção em poços;;
1503/000129;SSO - Perda de contenção maior de gás inflamável;;
1503/000130;SSO - Parada emergencial de nível menor;;
1503/000131;Reclassificação;;
1503/000132;Reclassificação;;
1503/000133;Reclassificação;;
1503/000134;Descarga menor de óleo;LEVE;Acidente
1503/000135;Reclassificação;;
1503/000136;SSO - Parada emergencial de nível menor;;
1503/000137;SSO - Parada emergencial de nível menor;;
1503/000138;Reclassificação;;
1503/000139;SSO - Falha no Blowout Preventer (BOP);;
1503/000140;SSO - Ferimento grave;;
1503/000141;Reclassificação;;
1503/000142;SSO - Ferimento grave;;
1503/000143;Reclassificação;;
1503/000144;Reclassificação;;
1503/000145;Reclassificação;;
1503/000146;Reclassificação;;
1503/000147;Reclassificação;;
1503/000148;Reclassificação;;
1503/000149;SSO - Falha no Blowout Preventer (BOP);;
1503/000150;Quase acidente de alto potencial;LEVE;Quase acidente
1503/000150;Queda de objetos;LEVE;Quase acidente
1503/000151;Quase acidente de alto potencial;LEVE;Quase acidente
1503/000152;Quase acidente de alto potencial;LEVE;Quase acidente
1503/000153;Descarga menor de óleo;LEVE;Acidente
1503/000154;SSO - Queda de objetos;;
1503/000155;Reclassificação;;
1503/000155;SSO - Parada emergencial de nível menor;;
1503/000156;Descarga menor de óleo;LEVE;Acidente
1503/000157;Reclassificação;;
1503/000158;SSO - Descarga menor de óleo;;
1503/000159;SSO - Parada emergencial de nível menor;;
1503/000160;SSO - Parada emergencial de nível menor;;
1503/000161;Reclassificação;;
1503/000162;SSO - Descarga significante de óleo;;
1503/000163;Reclassificação;;
1503/000164;SSO - Parada emergencial de nível menor;;
1503/000165;Reclassificação;;
1503/000166;Reclassificação;;
1503/000167;Reclassificação;;
1503/000168;SSO - Falha na demanda total ou parcial de sistema crítico de segurança operacional;;
1503/000169;Reclassificação;;
1503/000170;SSO - Falha no Blowout Preventer (BOP);;
1503/000171;Quase acidente de alto potencial;LEVE;Quase acidente
1503/000172;SSO - Quase acidente de alto potencial;;
1503/000173;SSO - Perda de contenção de H2S;;
1503/000174;SSO - Quase acidente de alto potencial;;
1503/000175;Reclassificação;;
1503/000176;Reclassificação;;
1503/000177;SSO - Falha no Blowout Preventer (BOP);;
1503/000178;SSO - Parada emergencial de nível menor;;
1503/000179;SSO - Descarga menor de óleo;;
1503/000180;SSO - Parada emergencial de nível menor;;
1503/000181;SSO - Parada emergencial de nível menor;;
1503/000182;SSO - Parada emergencial de nível menor;;
1503/000183;SSO - Parada emergencial de nível menor;;
1503/000184;SSO - Princípio de incêndio;;
1503/000185;Reclassificação;;
1503/000186;Reclassificação;;
1503/000187;Reclassificação;;
1503/000187;SSO - Parada emergencial de nível menor;;
1503/000188;Descarga menor de óleo;LEVE;Acidente
1503/000189;Reclassificação;;
1503/000189;SSO - Parada emergencial de nível menor;;
1503/000190;SSO - Parada emergencial de nível menor;;
1503/000191;Reclassificação;;
1503/000192;Reclassificação;;
1503/000193;Reclassificação;;
1503/000194;SSO - Parada emergencial de nível menor;;
1503/000195;SSO - Parada emergencial de nível menor;;
1503/000196;SSO - Quase acidente de alto potencial;;
1504/000001;SSO - Falha no Blowout Preventer (BOP);;
1504/000002;Quase acidente de alto potencial;LEVE;Quase acidente
1504/000003;SSO - Parada emergencial de nível menor;;
1504/000003;SSO - Perda de contenção significante de gás inflamável;;
1504/000004;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1504/000005;Reclassificação;;
1504/000006;SSO - Parada emergencial de nível menor;;
1504/000007;SSO - Parada emergencial de nível menor;;
1504/000008;Reclassificação;;
1504/000009;SSO - Parada emergencial de nível menor;;
1504/000010;Falha na demanda total ou parcial de sistema crítico de segurança operacional;MODERADO;Quase acidente
1504/000011;Reclassificação;;
1504/000012;SSO - Ferimento grave;;
1504/000013;Reclassificação;;
1504/000014;SSO - Explosão mecânica;;
1504/000015;SSO - Descarga menor de óleo;;
1504/000016;Reclassificação;;
1504/000017;Reclassificação;;
1504/000017;SSO - Parada emergencial de nível menor;;
1504/000018;SSO - Quase acidente de alto potencial;;
1504/000019;SSO - Ferimento grave;;
1504/000020;Reclassificação;;
1504/000021;Reclassificação;;
1504/000022;Reclassificação;;
1504/000022;SSO - Parada emergencial de nível menor;;
1504/000023;SSO - Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;;
1504/000023;SSO - Quase acidente de alto potencial;;
1504/000024;SSO - Parada emergencial de nível menor;;
1504/000025;SSO - Parada emergencial de nível menor;;
1504/000026;Reclassificação;;
1504/000027;Reclassificação;;
1504/000027;SSO - Parada emergencial de nível menor;;
1504/000028;SSO - Falha no Blowout Preventer (BOP);;
1504/000029;Reclassificação;;
1504/000030;Reclassificação;;
1504/000031;SSO - Parada emergencial de nível menor;;
1504/000032;SSO - Queda de objetos;;
1504/000033;Reclassificação;;
1504/000034;SSO - Princípio de incêndio;;
1504/000035;SSO - Falha na demanda total ou parcial de sistema crítico de segurança operacional;;
1504/000036;SSO - Parada emergencial de nível menor;;
1504/000037;SSO - Perda de circulação;;
1504/000038;Reclassificação;;
1504/000039;SSO - Parada emergencial de nível menor;;
1504/000040;SSO - Parada emergencial de nível menor;;
1504/000041;SSO - Parada emergencial de nível menor;;
1504/000042;Reclassificação;;
1504/000043;Quase acidente de alto potencial;LEVE;Quase acidente
1504/000044;SSO - Perda de contenção primária significante de fluido de perfuração, completação ou intervenção em poços;;
1504/000045;SSO - Queda de objetos;;
1504/000046;SSO - Descarga significante de fluido de perfuração, completação ou intervenção em poços;;
1504/000047;SSO - Quase acidente de alto potencial;;
1504/000048;SSO - Descarga menor de óleo;;
1504/000049;SSO - Falha do sistema de ancoragem;;
1504/000049;SSO - Perda de posicionamento;;
1504/000050;SSO - Princípio de incêndio;;
1504/000051;SSO - Ferimento grave;;
1504/000052;Constatação de mancha de origem indeterminada;MODERADO;Quase acidente
1504/000053;Reclassificação;;
1504/000053;SSO - Parada emergencial de nível menor;;
1504/000054;SSO - Parada emergencial de nível menor;;
1504/000055;SSO - Perda de contenção primária significante de material com alto potencial de dano;;
1504/000056;SSO - Quase acidente de alto potencial;;
1504/000057;SSO - Perda de contenção primária significante de óleo;;
1504/000059;SSO - Reclassificação;;
1504/000060;SSO - Quase acidente de alto potencial;;
1504/000061;SSO - Parada emergencial de nível menor;;
1504/000061;SSO - Princípio de incêndio;;
1504/000062;SSO - Falha no Blowout Preventer (BOP);;
1504/000063;SSO - Descarga significante de óleo;;
1504/000064;SSO - Princípio de incêndio;;
1504/000065;SSO - Descarga menor de óleo;;
1504/000066;SSO - Parada emergencial de nível menor;;
1504/000067;SSO - Parada emergencial de nível menor;;
1504/000068;SSO - Descarga menor de óleo;;
1504/000069;Reclassificação;;
1504/000069;SSO - Parada emergencial de nível menor;;
1504/000070;Quase acidente de alto potencial;LEVE;Quase acidente
1504/000070;Queda de objetos;LEVE;Quase acidente
1504/000071;SSO - Queda de objetos;;
1504/000072;SSO - Falha no Blowout Preventer (BOP);;
1504/000073;SSO - Falha no Blowout Preventer (BOP);;
1504/000074;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1504/000075;SSO - Princípio de incêndio;;
1504/000076;Reclassificação;;
1504/000077;SSO - Falha no Blowout Preventer (BOP);;
1504/000078;Reclassificação;;
1504/000079;Reclassificação;;
1504/000080;SSO - Ferimento grave;;
1504/000081;SSO - Quase acidente de alto potencial;;
1504/000081;SSO - Queda de objetos;;
1504/000082;SSO - Princípio de incêndio;;
1504/000083;SSO - Parada emergencial de nível menor;;
1504/000084;SSO - Descarga menor de fluido de perfuração, completação ou intervenção em poços;;
1504/000085;SSO - Reclassificação;;
1504/000086;SSO - Falha no Blowout Preventer (BOP);;
1504/000087;SSO - Parada emergencial de nível menor;;
1504/000088;SSO - Parada emergencial de nível menor;;
1504/000089;SSO - Queda de objetos;;
1504/000090;Reclassificação;;
1504/000091;Reclassificação;;
1504/000092;SSO - Reclassificação;;
1504/000093;SSO - Reclassificação;;
1504/000094;Reclassificação;;
1504/000095;SSO - Perda de contenção primária significante de material com alto potencial de dano;;
1504/000096;Reclassificação;;
1504/000097;SSO - Reclassificação;;
1504/000098;Reclassificação;;
1504/000098;SSO - Parada emergencial de nível menor;;
1504/000099;Reclassificação;;
1504/000099;SSO - Parada emergencial de nível menor;;
1504/000100;Reclassificação;;
1504/000101;Reclassificação;;
1504/000102;Reclassificação;;
1504/000103;SSO - Descarga menor de óleo;;
1504/000104;Queda de objetos;LEVE;Quase acidente
1504/000105;SSO - Princípio de incêndio;;
1504/000106;SSO - Descarga menor de óleo;;
1504/000107;Reclassificação;;
1504/000108;SSO - Aprisionamento de coluna;;
1504/000108;SSO - Perda de fonte radioativa;;
1504/000109;Reclassificação;;
1504/000110;Reclassificação;;
1504/000111;Queda de objetos;LEVE;Quase acidente
1504/000112;SSO - Quase acidente de alto potencial;;
1504/000113;Reclassificação;;
1504/000114;Reclassificação;;
1504/000115;Reclassificação;;
1504/000116;SSO - Princípio de incêndio;;
1504/000117;SSO - Queda de objetos;;
1504/000118;SSO - Parada emergencial de nível menor;;
1504/000119;SSO - Parada emergencial de nível menor;;
1504/000120;Reclassificação;;
1504/000121;Reclassificação;;
1504/000122;Reclassificação;;
1504/000123;SSO - Perda de contenção significante de gás inflamável;;
1504/000124;SSO - Quase acidente de alto potencial;;
1504/000125;SSO - Quase acidente de alto potencial;;
1504/000125;SSO - Queda de objetos;;
1504/000126;Reclassificação;;
1504/000127;SSO - Parada emergencial de nível menor;;
1504/000128;SSO - Falha no Blowout Preventer (BOP);;
1504/000129;SSO - Quase acidente de alto potencial;;
1504/000130;SSO - Queda de objetos;;
1504/000131;Reclassificação;;
1504/000132;SSO - Parada emergencial de nível menor;;
1504/000133;SSO - Quase acidente de alto potencial;;
1504/000134;SSO - Parada emergencial de nível menor;;
1504/000135;SSO - Parada emergencial de nível menor;;
1504/000136;SSO - Quase acidente de alto potencial;;
1504/000137;Reclassificação;;
1504/000138;Reclassificação;;
1504/000138;SSO - Parada emergencial de nível menor;;
1504/000139;Reclassificação;;
1504/000140;Ferimento grave;MODERADO;Acidente
1504/000141;SSO - Parada emergencial de nível menor;;
1504/000142;SSO - Quase acidente de alto potencial;;
1504/000143;SSO - Quase acidente de alto potencial;;
1504/000143;SSO - Queda de objetos;;
1504/000144;Reclassificação;;
1504/000145;Reclassificação;;
1504/000146;SSO - Reclassificação;;
1504/000147;SSO - Quase acidente de alto potencial;;
1504/000147;SSO - Queda de objetos;;
1504/000148;SSO - Parada emergencial de nível menor;;
1504/000149;SSO - Parada emergencial de nível menor;;
1504/000150;Reclassificação;;
1504/000150;SSO - Parada emergencial de nível menor;;
1504/000151;Reclassificação;;
1504/000152;Reclassificação;;
1504/000153;Descarga menor de óleo;LEVE;Acidente
1504/000154;SSO - Parada emergencial de nível menor;;
1504/000155;Reclassificação;;
1504/000156;Reclassificação;;
1504/000157;Reclassificação;;
1504/000158;SSO - Perda de contenção primária significante de material com alto potencial de dano;;
1504/000159;SSO - Quase acidente de alto potencial;;
1504/000160;Reclassificação;;
1504/000161;SSO - Quase acidente de alto potencial;;
1504/000162;Reclassificação;;
1504/000163;Reclassificação;;
1504/000164;Reclassificação;;
1504/000165;SSO - Ferimento grave;;
1504/000166;SSO - Quase acidente de alto potencial;;
1504/000167;SSO - Parada emergencial de nível menor;;
1504/000168;SSO - Princípio de incêndio;;
1504/000169;Reclassificação;;
1504/000170;Princípio de incêndio;LEVE;Acidente
1504/000171;Descarga menor de óleo;LEVE;Acidente
1504/000172;SSO - Falha no Blowout Preventer (BOP);;
1504/000173;Reclassificação;;
1504/000174;Reclassificação;;
1504/000175;Reclassificação;;
1504/000176;SSO - Descarga significante de óleo;;
1504/000177;SSO - Parada emergencial de nível menor;;
1504/000178;Reclassificação;;
1504/000178;SSO - Parada emergencial de nível menor;;
1504/000179;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1504/000180;SSO - Parada emergencial de nível menor;;
1504/000181;SSO - Ferimento grave;;
1504/000182;Quase acidente de alto potencial;LEVE;Quase acidente
1504/000183;Quase acidente de alto potencial;LEVE;Quase acidente
1504/000184;SSO - Parada emergencial de nível menor;;
1504/000185;Quase acidente de alto potencial;LEVE;Quase acidente
1504/000186;SSO - Parada emergencial de nível menor;;
1504/000187;Reclassificação;;
1504/000188;SSO - Falha no Blowout Preventer (BOP);;
1504/000189;Reclassificação;;
1504/000190;SSO - Perda de contenção significante de gás inflamável;;
1504/000191;SSO - Queda de objetos;;
1504/000192;SSO - Descarga menor de óleo;;
1504/000193;SSO - Parada emergencial de nível menor;;
1504/000194;Perda de contenção primária maior de água produzida;LEVE;Quase acidente
1504/000195;Reclassificação;;
1504/000195;SSO - Parada emergencial de nível menor;;
1504/000196;Reclassificação;;
1504/000197;SSO - Quase acidente de alto potencial;;
1504/000199;SSO - Parada emergencial de nível menor;;
1504/000200;SSO - Parada emergencial de nível menor;;
1504/000201;SSO - Perda de contenção significante de gás inflamável;;
1504/000202;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1504/000203;Reclassificação;;
1504/000204;Reclassificação;;
1504/000205;Reclassificação;;
1504/000206;Reclassificação;;
1504/000207;SSO - Ferimento grave;;
1504/000208;SSO - Parada emergencial de nível menor;;
1504/000209;Reclassificação;;
1504/000209;SSO - Parada emergencial de nível menor;;
1504/000210;SSO - Queda de objetos;;
1504/000211;Quase acidente de alto potencial;LEVE;Quase acidente
1504/000212;Reclassificação;;
1504/000213;SSO - Quase acidente de alto potencial;;
1504/000214;Reclassificação;;
