Numero;Tipo_de_incidente;DSC_GRAVIDADE_TIPO;DSC_QUASE_ACIDENTE_ACIDENTE
1308/000091;SSO - Descarga menor de óleo;;
1308/000093;SSO - Queda de objetos;;
1308/000094;Descarga significante de óleo;MODERADO;Acidente
1308/000095;SSO - Perda de fonte radioativa;;
1308/000096;SSO - Queda de objetos;;
1308/000097;SSO - Descarga menor de óleo;;
1308/000098;SSO - Quase acidente de alto potencial;;
1308/000099;SSO - Queda de objetos;;
1308/000100;SSO - Ferimento grave;;
1308/000101;SSO - Princípio de incêndio;;
1308/000102;SSO - Parada emergencial de nível menor;;
1308/000103;SSO - Parada emergencial de nível menor;;
1308/000103;SSO - Quase acidente de alto potencial;;
1308/000104;SSO - Ferimento grave;;
1308/000105;SSO - Descarga significante de óleo;;
1308/000108;Reclassificação;;
1308/000109;SSO - Descarga menor de água oleosa;;
1309/000001;SSO - Quase acidente de alto potencial;;
1309/000002;SSO - Parada emergencial de nível menor;;
1309/000003;Quase acidente de alto potencial;LEVE;Quase acidente
1309/000004;SSO - Quase acidente de alto potencial;;
1309/000005;SSO - Parada emergencial de nível menor;;
1309/000006;SSO - Parada emergencial de nível menor;;
1309/000007;SSO - Queda de objetos;;
1309/000008;SSO - Perda de contenção primária significante de fluido de perfuração, completação ou intervenção em poços;;
1309/000009;SSO - Queda de objetos;;
1309/000010;SSO - Ferimento grave;;
1309/000011;SSO - Queda de objetos;;
1309/000012;SSO - Descarga menor de óleo;;
1309/000013;SSO - Parada emergencial de nível menor;;
1309/000014;SSO - Parada emergencial de nível menor;;
1309/000015;SSO - Parada emergencial de nível menor;;
1309/000016;SSO - Parada emergencial de nível menor;;
1309/000017;SSO - Queda de objetos;;
1309/000018;SSO - Quase acidente de alto potencial;;
1309/000019;SSO - Ferimento grave;;
1309/000021;SSO - Ferimento grave;;
1309/000022;SSO - Parada emergencial de nível menor;;
1309/000022;SSO - Perda de posicionamento;;
1309/000023;SSO - Descarga significante de fluido de perfuração, completação ou intervenção em poços;;
1309/000024;SSO - Parada emergencial de nível menor;;
1309/000025;Reclassificação;;
1309/000025;SSO - Quase acidente de alto potencial;;
1309/000026;Descarga significante de óleo;MODERADO;Acidente
1309/000029;SSO - Quase acidente de alto potencial;;
1309/000030;SSO - Descarga maior de óleo;;
1309/000031;SSO - Constatação de mancha de origem indeterminada;;
1309/000032;Descarga menor de óleo;LEVE;Acidente
1309/000033;Descarga menor de óleo;LEVE;Acidente
1309/000035;SSO - Princípio de incêndio;;
1309/000036;SSO - Descarga menor de óleo;;
1309/000037;SSO - Descarga menor de água de injeção;;
1309/000038;Aprisionamento de coluna;MODERADO;Acidente
1309/000038;Perda de fonte radioativa;LEVE;Quase acidente
1309/000039;SSO - Queda de objetos;;
1309/000040;SSO - Queda de objetos;;
1309/000041;SSO - Queda de objetos;;
1309/000042;SSO - Queda de objetos;;
1309/000043;SSO - Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;;
1309/000044;Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;MODERADO;Acidente
1309/000045;SSO - Queda de objetos;;
1309/000046;SSO - Queda de objetos;;
1309/000047;SSO - Descarga significante de fluido de perfuração, completação ou intervenção em poços;;
1309/000048;SSO - Quase acidente de alto potencial;;
1309/000049;SSO - Queda de objetos;;
1309/000050;SSO - Falha na demanda total ou parcial de sistema crítico de segurança operacional;;
1309/000050;SSO - Princípio de incêndio;;
1309/000051;SSO - Queda de objetos;;
1309/000052;SSO - Falha na demanda total ou parcial de sistema crítico de segurança operacional;;
1309/000052;SSO - Queda de objetos;;
