COMISIÓN NACIONAL DE HIDROCARBUROS,,,,,,,,,,,,
PRODUCCION POR ASIGNACION,,,,,,,,,,,,
Produccion mensual,,,,,,,,,,,,
Datos a enero - 2025.,,,,,,,,,,,,
Notas: Las unidades corresponden a Miles de barriles diarios (Mbd) y Millones de pies cúbicos diarios (MMpcd).,,,,,,,,,,,,
El nombre de la asignación corresponde a la última.,,,,,,,,,,,,
"A partir de 2016 se contabiliza la producción de petróleo a una temperatura de 15.56 grados Celsius, de conformidad",,,,,,,,,,,,
con lo establecido en los Lineamientos Técnicos en Materia de Medición de Hidrocarburos.,,,,,,,,,,,,
Hidrocarburos líquidos: Se refiere a la suma de petróleo y condensado.,,,,,,,,,,,,
Para información geográfica de las asignaciones visite https://mapa.hidrocarburos.gob.mx,,,,,,,,,,,,
,,,,,,,,,,,,
FECHA,ASIGNACION,NOMBRE,UBICACION,CUENCA,HIDROCARBUROS_LIQUIDOS_MBD,PETROLEO_MBD,CONDENSADO_MBD,GAS_MMPCD,GAS_ASOC_MMPCD,GAS_NASOC_MMPCD,NITROGENO_MMPCD,AGUA_MBD
01/2016,A-0259,A-0259 - Campo Pandura,Terrestre,Burgos,0.0,0.0,0.0,4.985014091,0.0,4.985014091,0.001495,0.018860916
01/2016,A-0265,A-0265-M - Campo Pascualito,Terrestre,Burgos,0.0,0.0,0.0,1.050903722,0.0,1.050903722,0.009563,7.4272e-05
01/2016,A-0267,A-0267 - Campo Patlache,Terrestre,Burgos,0.0,0.0,0.0,0.490265342,0.0,0.490265342,0.001029,0.002674809
01/2016,A-0288,A-0288-M - Campo Reynosa,Terrestre,Burgos,0.0,0.0,0.0,1.545036295,0.0,1.545036295,0.002935,0.030266189
01/2016,A-0302,A-0302-M - Campo Santa Anita,Terrestre,Burgos,0.0,0.0,0.0,4.895854641,0.0,4.895854641,0.008812,0.014803587
01/2016,A-0303,A-0303-M - Campo Santa Rosalía,Terrestre,Burgos,0.0,0.0,0.0,20.238932535,0.0,20.238932535,0.048573,0.243244038
01/2016,A-0316,A-0316-M - Campo Sultán,Terrestre,Burgos,0.0,0.0,0.0,3.706252333,0.0,3.706252333,0.061523,0.038878555
01/2016,A-0333,A-0333 - Campo Terregal,Terrestre,Burgos,0.0,0.0,0.0,1.655581625,0.0,1.655581625,0.002979,0.007357807
01/2016,A-0335,A-0335-M - Campo Tigrillo,Terrestre,Burgos,0.0,0.0,0.0,0.744519717,0.0,0.744519717,0.026281,0.001447775
01/2016,A-0345,A-0345-M - Campo Topo,Terrestre,Burgos,0.0,0.0,0.0,25.477106015,0.0,25.477106015,0.422919,0.021229441
01/2016,A-0346,A-0346-M - Campo Torrecillas,Terrestre,Burgos,0.0,0.0,0.0,8.285487768,0.0,8.285487768,0.125445,0.017215849
01/2016,A-0365,A-0365-M - Campo Velero,Terrestre,Burgos,0.0,0.0,0.0,39.068590197,0.0,39.068590197,0.117205,0.05064985
01/2016,A-0366,A-0366-M - Campo Viboritas,Terrestre,Burgos,0.0,0.0,0.0,5.435555904,0.0,5.435555904,0.005435,0.032915867
01/2016,A-0383,A-0383-M - Cuervito,Terrestre,Burgos,0.0,0.0,0.0,44.193661506,0.0,44.193661506,0.192465,0.478232057
01/2016,A-0398,AE-0398-M - Misión,Terrestre,Burgos,0.0,0.0,0.0,80.014804056,0.0,80.014804056,0.157366,1.198324271
01/2016,A-0400,A-0400 - Olmos,Terrestre,Burgos,0.0,0.0,0.0,1.722100895,0.0,1.722100895,0.005414,0.067089653
