COMISIÓN NACIONAL DE HIDROCARBUROS,,,,,
POZOS TERMINADOS,,,,,
,,,,,
Datos a diciembre - 2024.,,,,,
,,,,,
FECHA,CUENCA,CATEGORIA_POZO,UBICACION,OPERADOR,POZOS_TERMINADOS
12/2002,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,3
12/2002,Cuencas del Sureste,Exploración,Aguas someras,Pemex Exploración y Producción,2
12/2002,Cuencas del Sureste,Exploración,Terrestre,Pemex Exploración y Producción,2
12/2002,Tampico-Misantla,Desarrollo,Terrestre,Pemex Exploración y Producción,1
12/2002,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,3
01/2003,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,22
01/2003,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,1
01/2003,Cuencas del Sureste,Desarrollo,Aguas someras,Pemex Exploración y Producción,4
01/2003,Cuencas del Sureste,Exploración,Aguas someras,Pemex Exploración y Producción,2
01/2003,Tampico-Misantla,Desarrollo,Terrestre,Pemex Exploración y Producción,2
01/2003,Tampico-Misantla,Exploración,Aguas someras,Pemex Exploración y Producción,1
01/2003,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,1
01/2003,Veracruz,Exploración,Terrestre,Pemex Exploración y Producción,1
02/2003,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,28
02/2003,Cuencas del Sureste,Desarrollo,Aguas someras,Pemex Exploración y Producción,2
02/2003,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,3
02/2003,Cuencas del Sureste,Exploración,Aguas someras,Pemex Exploración y Producción,1
02/2003,Cuencas del Sureste,Exploración,Terrestre,Pemex Exploración y Producción,4
02/2003,Tampico-Misantla,Desarrollo,Aguas someras,Pemex Exploración y Producción,1
02/2003,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,1
03/2003,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,29
03/2003,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,4
03/2003,Cuencas del Sureste,Desarrollo,Aguas someras,Pemex Exploración y Producción,3
03/2003,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,1
03/2003,Cuencas del Sureste,Exploración,Aguas someras,Pemex Exploración y Producción,3
03/2003,Cuencas del Sureste,Exploración,Terrestre,Pemex Exploración y Producción,1
03/2003,Sabinas-Burro-Picachos,Exploración,Terrestre,Pemex Exploración y Producción,1
03/2003,Tampico-Misantla,Desarrollo,Terrestre,Pemex Exploración y Producción,3
03/2003,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,4
04/2003,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,32
04/2003,Burgos,Exploración,Aguas someras,Pemex Exploración y Producción,1
04/2003,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,1
04/2003,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,2
04/2003,Cuencas del Sureste,Exploración,Aguas someras,Pemex Exploración y Producción,2
04/2003,Tampico-Misantla,Desarrollo,Terrestre,Pemex Exploración y Producción,4
04/2003,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,5
04/2003,Veracruz,Exploración,Terrestre,Pemex Exploración y Producción,3
05/2003,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,32
05/2003,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,1
05/2003,Cuencas del Sureste,Desarrollo,Aguas someras,Pemex Exploración y Producción,2
05/2003,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,2
05/2003,Cuencas del Sureste,Exploración,Terrestre,Pemex Exploración y Producción,1
05/2003,Tampico-Misantla,Desarrollo,Terrestre,Pemex Exploración y Producción,4
05/2003,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,6
05/2003,Veracruz,Exploración,Terrestre,Pemex Exploración y Producción,2
06/2003,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,22
06/2003,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,4
06/2003,Cuencas del Sureste,Desarrollo,Aguas someras,Pemex Exploración y Producción,2
06/2003,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,3
06/2003,Cuencas del Sureste,Exploración,Aguas someras,Pemex Exploración y Producción,7
06/2003,Tampico-Misantla,Desarrollo,Terrestre,Pemex Exploración y Producción,4
06/2003,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,6
07/2003,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,26
07/2003,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,1
07/2003,Cuencas del Sureste,Desarrollo,Aguas someras,Pemex Exploración y Producción,1
07/2003,Cuencas del Sureste,Exploración,Aguas someras,Pemex Exploración y Producción,2
07/2003,Cuencas del Sureste,Exploración,Terrestre,Pemex Exploración y Producción,4
07/2003,Tampico-Misantla,Desarrollo,Terrestre,Pemex Exploración y Producción,2
07/2003,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,4
07/2003,Veracruz,Exploración,Terrestre,Pemex Exploración y Producción,1
08/2003,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,32
08/2003,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,6
08/2003,Cuencas del Sureste,Desarrollo,Aguas someras,Pemex Exploración y Producción,3
08/2003,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,1
08/2003,Cuencas del Sureste,Exploración,Aguas someras,Pemex Exploración y Producción,1
08/2003,Tampico-Misantla,Desarrollo,Aguas someras,Pemex Exploración y Producción,1
08/2003,Tampico-Misantla,Desarrollo,Terrestre,Pemex Exploración y Producción,11
08/2003,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,5
08/2003,Veracruz,Exploración,Terrestre,Pemex Exploración y Producción,1
09/2003,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,20
09/2003,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,2
09/2003,Cuencas del Sureste,Desarrollo,Aguas someras,Pemex Exploración y Producción,5
09/2003,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,7
09/2003,Cuencas del Sureste,Exploración,Aguas someras,Pemex Exploración y Producción,3
09/2003,Cuencas del Sureste,Exploración,Terrestre,Pemex Exploración y Producción,2
09/2003,Sabinas-Burro-Picachos,Exploración,Terrestre,Pemex Exploración y Producción,1
09/2003,Tampico-Misantla,Desarrollo,Terrestre,Pemex Exploración y Producción,10
09/2003,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,5
10/2003,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,27
10/2003,Burgos,Exploración,Aguas someras,Pemex Exploración y Producción,1
10/2003,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,1
10/2003,Cuencas del Sureste,Desarrollo,Aguas someras,Pemex Exploración y Producción,1
10/2003,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,7
10/2003,Cuencas del Sureste,Exploración,Aguas someras,Pemex Exploración y Producción,3
10/2003,Cuencas del Sureste,Exploración,Terrestre,Pemex Exploración y Producción,1
10/2003,Tampico-Misantla,Desarrollo,Terrestre,Pemex Exploración y Producción,10
10/2003,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,4
10/2003,Veracruz,Exploración,Terrestre,Pemex Exploración y Producción,2
11/2003,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,37
11/2003,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,3
11/2003,Cuencas del Sureste,Desarrollo,Aguas someras,Pemex Exploración y Producción,1
11/2003,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,6
11/2003,Cuencas del Sureste,Exploración,Aguas someras,Pemex Exploración y Producción,3
11/2003,Tampico-Misantla,Desarrollo,Terrestre,Pemex Exploración y Producción,3
11/2003,Veracruz,Exploración,Terrestre,Pemex Exploración y Producción,4
12/2003,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,38
12/2003,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,4
12/2003,Cuencas del Sureste,Desarrollo,Aguas someras,Pemex Exploración y Producción,2
12/2003,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,5
12/2003,Cuencas del Sureste,Exploración,Aguas someras,Pemex Exploración y Producción,2
12/2003,Cuencas del Sureste,Exploración,Terrestre,Pemex Exploración y Producción,1
